index,G1,G2,G3,G4,G5,G6,G7
1991-01-01,21.043081472924968,17.566666666666666,21.8,24.325,24.650000000000002,19.506646560532648,24.833333333333332
1991-01-02,23.222350951903806,20.1,23.6,24.575,26.2625,19.05787044578366,24.33833264943236
1991-01-03,21.34735095190381,21.2,24.674999999999997,21.5,24.037499999999998,19.27453711245033,26.966666666666665
1991-01-04,22.447350951903807,18.5,22.8,20.325,21.4375,18.52453711245033,23.633333333333336
1991-01-05,21.35985095190381,17.5,22.35,20.775,21.9,18.574537112450326,24.116666666666664
1991-01-06,20.88058147292497,18.816666666666666,22.4,21.625,24.224999999999998,19.224537112450328,25.96666666666667
1991-01-07,21.58058147292497,20.48333333333333,23.174999999999997,23.0,25.6,19.541203779116994,28.21666666666667
1991-01-08,23.08485095190381,21.566666666666666,23.7,24.0,26.9625,19.90787044578366,29.5
1991-01-09,24.134850951903807,21.55,22.975,25.075000000000003,28.174999999999997,20.041203779116994,29.966666666666665
1991-01-10,23.297350951903805,21.150000000000002,23.35,24.25,26.0,19.957870445783662,29.23333333333333
1991-01-11,24.222350951903806,20.233333333333334,23.424999999999997,22.025000000000002,23.799999999999997,19.02453711245033,26.166666666666668
1991-01-12,21.972350951903806,17.25,21.900000000000002,20.95,22.275,18.10787044578366,23.433333333333334
1991-01-13,23.43485095190381,18.2,22.175,22.325,22.875,18.00787044578366,23.816666666666663
1991-01-14,24.122350951903808,22.416666666666668,24.025,23.125,24.525,19.241203779116994,25.55
1991-01-15,24.23485095190381,20.532739463601533,25.15,23.325000000000003,24.825000000000003,19.52453711245033,26.13333333333333
1991-01-16,25.634850951903807,22.45,23.15,19.374471522200686,23.825,19.05787044578366,24.0
1991-01-17,21.443081472924966,16.816666666666666,21.05848716908409,17.375,18.0625,17.34120377911699,19.299999999999997
1991-01-18,21.034850951903806,17.433333333333334,20.5,18.85,21.3625,18.441203779116993,23.0
1991-01-19,21.17235095190381,19.133333333333333,22.700000000000003,23.175,25.175,19.241203779116994,24.738332649432362
1991-01-20,22.772350951903807,21.55,23.45,25.299999999999997,27.674999999999997,19.757870445783663,26.404999316099026
1991-01-21,24.197350951903807,23.599999999999998,24.825,23.85,26.424999999999997,20.391203779116996,27.004999316099028
1991-01-22,24.697350951903807,23.7,24.3,21.575,24.2125,19.77453711245033,25.121665982765695
1991-01-23,24.10985095190381,22.95,23.65,22.625,24.262499999999996,19.707870445783662,24.38833264943236
1991-01-24,21.59308147292497,20.400000000000002,22.65,21.475,22.4625,18.924537112450327,22.521665982765697
1991-01-25,20.85985095190381,16.02909607474029,20.483487169084086,22.875,20.8,17.25787044578366,19.95499931609903
1991-01-26,20.54735095190381,14.566666666666668,20.05,22.45,21.8125,16.90787044578366,20.238332649432362
1991-01-27,20.82235095190381,16.96666666666667,21.925,20.775,21.575,17.80787044578366,21.204999316099027
1991-01-28,22.48485095190381,20.099999999999998,22.1,20.049999999999997,22.8125,18.77453711245033,23.171665982765692
1991-01-29,22.95985095190381,22.066666666666663,24.8,22.200000000000003,25.4,19.50787044578366,24.35499931609903
1991-01-30,21.14735095190381,20.566666666666666,24.025,24.325000000000003,23.224999999999998,17.991203779116994,21.021665982765697
1991-01-31,22.60985095190381,17.416666666666664,26.625,22.175,22.2,17.674537112450327,20.70499931609903
1991-02-01,22.733230521021163,18.73333333333333,24.925,23.625,23.4,18.207870445783662,22.866666666666664
1991-02-02,22.59573052102116,21.05,24.8,24.275,24.887499999999996,18.974537112450328,24.583333333333332
1991-02-03,21.40558147292497,21.05,25.200000000000003,25.675,25.6875,19.62453711245033,25.26666666666667
1991-02-04,22.245730521021162,20.45,23.9,25.9,24.799999999999997,18.724537112450328,25.633333333333336
1991-02-05,22.87073052102116,20.8,24.675,25.025,25.825,19.374537112450327,26.86666666666667
1991-02-06,22.75823052102116,20.016666666666666,24.675,23.225,24.975,18.974537112450328,26.0
1991-02-07,21.308230521021162,19.8,24.425,22.975,25.35,19.00787044578366,26.05
1991-02-08,22.020730521021164,20.05,24.625,23.925,25.75,19.074537112450326,26.366666666666664
1991-02-09,22.733230521021163,19.332739463601534,24.924999999999997,24.875,26.200000000000003,18.824537112450326,27.05
1991-02-10,21.94308147292497,18.716072796934867,25.1,24.95,25.7875,18.891203779116996,25.03333333333333
1991-02-11,23.14573052102116,19.56607279693487,26.825,25.375,27.5125,19.141203779116996,26.850000000000005
1991-02-12,22.358230521021163,21.150000000000002,25.775,20.3,22.962500000000002,18.973313227199316,24.616666666666664
1991-02-13,22.72073052102116,16.849999999999998,22.825,19.625,20.200000000000003,18.056646560532645,22.100000000000005
1991-02-14,22.145730521021164,15.383333333333333,21.8,17.5,18.0125,16.173313227199312,19.416666666666668
1991-02-15,21.245730521021162,14.616072796934867,20.5,18.25,17.65,15.75664656053265,18.566666666666666
1991-02-16,21.995730521021162,16.61607279693487,21.3,18.6,20.262500000000003,17.423313227199312,20.966666666666665
1991-02-17,22.43058147292497,18.5494061302682,22.95,20.625,22.325000000000003,18.70664656053265,23.61666666666667
1991-02-18,22.345730521021164,18.266072796934868,23.325,19.484558896992706,24.0,19.40664656053265,25.28333333333333
1991-02-19,22.20823052102116,18.33273946360153,23.675,20.675,24.637500000000003,20.206646560532647,27.116666666666664
1991-02-20,22.09573052102116,19.216072796934867,24.175,24.2,24.8125,20.58997989386598,27.25
1991-02-21,21.99573052102116,19.566072796934865,23.65,23.8,26.4,21.173313227199316,26.166666666666668
1991-02-22,23.245730521021162,18.033333333333335,23.625,22.6,23.762500000000003,19.18997989386598,24.366666666666664
1991-02-23,22.12073052102116,16.5,22.275,18.525,18.6875,16.80664656053265,20.383333333333336
1991-02-24,20.58058147292497,17.0494061302682,21.299999999999997,19.675,20.875,18.33997989386598,23.0
1991-02-25,20.45823052102116,19.1494061302682,22.0,22.825,24.099999999999998,20.10664656053265,26.216666666666665
1991-02-26,21.77073052102116,20.11607279693487,23.575,27.025,27.775000000000002,21.156646560532646,28.616666666666664
1991-02-27,23.10823052102116,19.882739463601535,24.05,27.9,28.5,21.339979893865983,28.683333333333337
1991-02-28,22.84573052102116,20.699406130268198,25.775,27.1,26.1875,21.239979893865982,25.650000000000002
1991-03-01,21.57073052102116,18.782739463601533,25.15,24.45,26.212500000000002,21.48997989386598,24.621665982765695
1991-03-02,21.34573052102116,19.3494061302682,25.35,22.175,25.762499999999996,21.08997989386598,24.63833264943236
1991-03-03,23.28485095190381,19.682739463601532,25.35,26.875,26.175,23.183333333333337,24.904999316099026
1991-03-04,23.0125,19.866666666666664,24.3,21.875,24.9125,21.483333333333334,24.521665982765693
1991-03-05,20.25,18.733333333333334,24.625,19.625,22.624999999999996,19.916666666666668,22.6716659827657
1991-03-06,20.975,19.48333333333333,23.175,21.675,23.4375,20.866666666666667,23.488332649432362
1991-03-07,22.875,21.2,25.325000000000003,25.075,26.775,23.349999999999998,25.05499931609903
1991-03-08,24.6625,21.55,25.725,27.5,29.3,24.76666666666667,25.70499931609903
