index,G1,G2,G3,G4,G5,G6,G7
1991-01-01,23.433333333333334,20.75,24.75,25.53333333333333,20.22,23.3,20.7
1991-01-02,23.366666666666664,,25.349999999999998,26.200000000000003,21.759999999999998,24.066666666666666,22.025
1991-01-03,20.96666666666667,,22.8,25.5,20.919999999999998,23.950000000000003,20.625
1991-01-04,20.566666666666666,,21.225,22.933333333333334,20.2,22.950000000000003,21.475
1991-01-05,21.633333333333336,,21.825,24.599999999999998,20.48,22.833333333333332,20.299999999999997
1991-01-06,22.0,,23.9,27.066666666666663,21.259999999999998,22.366666666666664,20.366666666666664
1991-01-07,22.566666666666666,,25.25,27.26666666666667,22.419999999999998,23.366666666666664,21.549999999999997
1991-01-08,23.600000000000005,,26.724999999999998,29.599999999999998,23.3,23.8,22.725
1991-01-09,24.433333333333334,,26.5,29.933333333333334,24.099999999999998,23.049999999999997,24.200000000000003
1991-01-10,23.166666666666668,,24.725,28.166666666666668,22.72,22.75,22.425
1991-01-11,21.666666666666668,,22.625,25.066666666666666,21.599999999999998,22.95,23.25
1991-01-12,21.36666666666667,,21.5,22.933333333333337,19.96,22.15,21.025
1991-01-13,21.766666666666666,,22.6,23.46666666666667,21.080000000000002,22.75,22.7
1991-01-14,22.099999999999998,,24.275,25.333333333333332,23.599999999999998,24.35,23.500000000000004
1991-01-15,22.566666666666666,,25.025,26.400000000000002,23.6,24.799999999999997,24.3
1991-01-16,19.3,,21.9,22.23333333333333,22.119999999999997,23.6,24.650000000000002
1991-01-17,17.1,,18.525,19.333333333333332,18.2,21.4,21.8
1991-01-18,20.166666666666668,,21.474999999999998,23.96666666666667,19.880000000000003,21.85,19.975
1991-01-19,23.5,,25.049999999999997,27.75,21.82,23.15,20.2
1991-01-20,24.7,,27.25,29.7,24.020000000000003,23.9,22.03333333333333
1991-01-21,22.866666666666664,,24.375,27.35,25.6,24.950000000000003,24.575
1991-01-22,21.0,,23.45,26.7,23.28,24.200000000000003,23.450000000000003
1991-01-23,22.450000000000003,,24.025,26.1,22.7,23.55,23.075
1991-01-24,22.26666666666667,,21.575,22.25,20.919999999999998,22.75,21.0
1991-01-25,22.366666666666664,,20.325000000000003,19.25,17.419999999999998,18.5,19.45
1991-01-26,22.03333333333333,,20.725,19.799999999999997,16.3,20.5,18.950000000000003
1991-01-27,21.133333333333333,,21.375,22.0,18.72,21.9,20.0
1991-01-28,21.033333333333335,,22.825000000000003,25.1,21.78,23.1,21.625
1991-01-29,23.26666666666667,,23.75,23.799999999999997,22.380000000000003,24.700000000000003,21.4
1991-01-30,23.53333333333333,,21.8,20.450000000000003,20.1,24.15,20.025
1991-01-31,22.266666666666666,18.7,21.85,20.85,18.42,25.25,21.575
1991-02-01,22.6,21.1,23.25,23.099999999999998,20.04,25.049999999999997,23.433333333333334
1991-02-02,23.799999999999997,22.9,24.575000000000003,24.766666666666666,22.139999999999997,25.1,22.73333333333333
1991-02-03,24.75,22.4,23.900000000000002,25.7,21.9,24.4,21.049999999999997
1991-02-04,25.05,22.3,24.45,26.333333333333332,21.540000000000003,23.950000000000003,23.233333333333334
1991-02-05,23.950000000000003,23.9,25.099999999999998,26.599999999999998,22.0,24.75,23.133333333333336
1991-02-06,22.9,22.9,24.075000000000003,25.8,20.82,24.75,22.7
1991-02-07,23.0,22.0,24.674999999999997,25.400000000000002,20.48,24.700000000000003,21.033333333333335
1991-02-08,23.6,22.4,24.75,25.3,21.3,24.450000000000003,22.266666666666666
1991-02-09,23.9,21.1,24.800000000000004,26.03333333333333,20.724999999999998,24.5,22.53333333333333
1991-02-10,24.25,22.7,25.525,26.2,21.119999999999997,24.05,22.75
1991-02-11,24.0,23.7,26.275,26.099999999999998,22.54,26.5,23.633333333333336
1991-02-12,19.95,18.9,21.825000000000003,23.733333333333334,21.06,24.65,22.5
1991-02-13,18.4,17.0,20.174999999999997,21.333333333333332,18.5,23.0,23.366666666666664
1991-02-14,16.65,14.3,17.425,18.166666666666668,16.44,21.0,22.0
1991-02-15,17.55,14.6,17.799999999999997,18.8,15.180000000000001,20.65,21.5
1991-02-16,19.2,17.2,20.5,21.76666666666667,17.58,21.85,22.833333333333332
