Nome: LONDRINA
Codigo Estacao: 83766
Latitude: -23.32555554
Longitude: -51.14166666
Altitude: 566
Situacao: Operante
Data Inicial: 1990-01-01
Data Final: 2025-02-16
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1990-01-01;null;null;null;null;null;null;null;null;null;
1990-01-02;null;null;null;null;null;null;null;null;null;
1990-01-03;null;null;null;null;null;null;null;null;null;
1990-01-04;null;null;null;null;null;null;null;null;null;
1990-01-05;null;null;null;null;null;null;null;null;null;
1990-01-06;null;null;null;null;null;null;null;null;null;
1990-01-07;null;null;null;null;null;null;null;null;null;
1990-01-08;null;null;null;null;null;null;null;null;null;
1990-01-09;null;null;null;null;null;null;null;null;null;
1990-01-10;null;null;null;null;null;null;null;null;null;
1990-01-11;null;null;null;null;null;null;null;null;null;
1990-01-12;null;null;null;null;null;null;null;null;null;
1990-01-13;null;null;null;null;null;null;null;null;null;
1990-01-14;null;null;null;null;null;null;null;null;null;
1990-01-15;null;null;null;null;null;null;null;null;null;
1990-01-16;null;null;null;null;null;null;null;null;null;
1990-01-17;null;null;null;null;null;null;null;null;null;
1990-01-18;null;null;null;null;null;null;null;null;null;
1990-01-19;null;null;null;null;null;null;null;null;null;
1990-01-20;null;null;null;null;null;null;null;null;null;
1990-01-21;null;null;null;null;null;null;null;null;null;
1990-01-22;null;null;null;null;null;null;null;null;null;
1990-01-23;null;null;null;null;null;null;null;null;null;
1990-01-24;null;null;null;null;null;null;null;null;null;
1990-01-25;null;null;null;null;null;null;null;null;null;
1990-01-26;null;null;null;null;null;null;null;null;null;
1990-01-27;null;null;null;null;null;null;null;null;null;
1990-01-28;null;null;null;null;null;null;null;null;null;
1990-01-29;null;null;null;null;null;null;null;null;null;
1990-01-30;null;null;null;null;null;null;null;null;null;
1990-01-31;null;null;null;null;null;null;null;null;null;
1990-02-01;0;null;0;33.2;27.3;22;55.8;34;0;
1990-02-02;5.3;null;0;30.2;24.6;21;70.5;59;0;
1990-02-03;3.1;null;0;31.8;25.2;20;63.3;48;0;
1990-02-04;3.3;null;0;33;26.6;20;58.8;45;0;
1990-02-05;4.1;null;0;32.4;26;19.4;61.3;48;0;
1990-02-06;4;null;0;32.8;26.2;19.4;58;43;0;
1990-02-07;4.4;null;0;31.2;25.5;18.6;58.3;42;0;
1990-02-08;3.4;null;0;32.6;25.2;18.6;69.3;58;0;
1990-02-09;3.2;null;0;34.2;27;21;63;41;0;
1990-02-10;3.8;null;0;33.6;27;21;65.3;46;0;
1990-02-11;3.8;null;5.4;31.4;25.3;20.6;72.3;59;0;
1990-02-12;2.8;null;0;31.2;24.4;21.6;82.8;61;0;
1990-02-13;1.5;null;27.1;29;24.6;21.2;82.5;67;0;
1990-02-14;1.9;null;0;32;26;22;68.5;54;0;
1990-02-15;3.7;null;.2;31.4;25.5;20;62.5;45;0;
1990-02-16;4.8;null;0;31.2;25.2;20;62.5;49;0;
1990-02-17;5;null;0;31.8;24.8;18.6;60.8;40;0;
1990-02-18;5.7;null;0;33;25.8;18.8;57.8;38;0;
1990-02-19;2.1;null;0;31;25.4;19;62;48;0;
1990-02-20;3.7;null;0;32.2;25.2;18.2;59.8;45;0;
1990-02-21;3.8;null;0;33;25.6;18.2;60.3;39;0;
1990-02-22;4.5;null;0;30.6;24.8;22;78.8;68;0;
1990-02-23;4;null;3.1;31.2;24.9;20.6;73;50;0;
1990-02-24;.9;null;2.6;30;24;19.2;72;55;0;
1990-02-25;2.7;null;0;28;23.5;19.8;76.3;73;0;
1990-02-26;2;null;30.6;29.4;23.1;18.4;71;41;0;
1990-02-27;5.4;null;0;27.6;21.4;15.6;58;37;0;
1990-02-28;5.1;null;0;30.2;22.8;15.6;54.3;31;0;
1990-03-01;4.6;null;.1;30;22.6;18.2;78.5;62;null;
1990-03-02;1.9;null;0;32.8;26.1;19.2;62.8;46;null;
1990-03-03;1.9;null;0;32.8;25.6;20.2;63.8;44;null;
1990-03-04;5.2;null;0;33;24.9;20.6;70.8;45;null;
