Nome: JACAREZINHO
Codigo Estacao: 83769
Latitude: -23.15
Longitude: -49.97
Altitude: 470
Situacao: Desativada
Data Inicial: 1990-01-01
Data Final: 1995-12-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1990-01-01;1;2.2;22.2;29.3;22.7;20.2;91.5;71;.3;
1990-01-02;.9;7.1;.8;30.7;23.5;20.7;87;71;1.3;
1990-01-03;2.1;2.6;5.4;27.7;22.2;18.7;75;71;.3;
1990-01-04;2.3;8.8;0;29.2;23;18.2;67;64;1.3;
1990-01-05;3.3;.9;.5;27.1;22.3;19.4;90.3;67;.7;
1990-01-06;.9;0;14;24.5;22.1;21;97;95;.7;
1990-01-07;.5;6;40.3;30.1;23.3;20.1;90.8;73;.3;
1990-01-08;1.9;1.1;.5;27;23.3;21;93.3;86;.7;
1990-01-09;1;0;36.9;24;22;20.2;98.3;97;0;
1990-01-10;.3;1.3;95.9;27.7;22.5;20.6;93;78;.7;
1990-01-11;1.7;1.3;20.4;28.7;23.2;20.7;96.8;93;.7;
1990-01-12;.7;1.6;41.4;29.3;24.2;20.5;89.8;71;.7;
1990-01-13;.9;2;12.2;30.9;23.9;21.2;82.5;37;.3;
1990-01-14;.9;7.4;38;32.3;25.1;21.2;78.5;32;.3;
1990-01-15;2.5;6.6;0;34.1;25.7;19.7;84.8;62;.7;
1990-01-16;2.7;8.1;33.6;33.1;24.1;17.5;78.3;59;.3;
1990-01-17;3.1;11.2;0;34.1;26.7;20.1;65;51;.7;
1990-01-18;3.5;7.2;0;33.9;25.8;21.1;78.5;64;.7;
1990-01-19;2.6;9.1;6;31.7;25.5;21.7;74.3;64;.7;
1990-01-20;3.3;1.2;11.2;26.9;23.2;20.2;87;76;0;
