Nome: CAMPO MOURAO
Codigo Estacao: 83783
Latitude: -24.08555555
Longitude: -52.38666666
Altitude: 602.17
Situacao: Fechada
Data Inicial: 1990-01-01
Data Final: 2016-12-21
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1990-01-01;.7;null;40.4;29.5;23.8;20.6;94.3;88;2.7;
1990-01-02;1.2;null;4.8;29.9;23.4;20.8;87.3;70;3.7;
1990-01-03;2.3;null;2.2;24.5;21.9;19.6;89.8;84;1.3;
1990-01-04;1.4;null;0;29.7;24;20.1;77;68;3;
1990-01-05;2.8;null;0;28.8;24.1;19.6;75.3;70;5;
1990-01-06;3;null;0;25.4;22;20.2;91.8;77;1.7;
1990-01-07;1.1;null;10.4;26.3;22.7;20;90.5;78;3;
1990-01-08;1;null;1.9;27;22.6;20.6;92;82;1.3;
1990-01-09;1;null;53.3;24.3;21.8;20.2;96.3;91;2;
1990-01-10;.4;null;41.7;24.2;21;19;98;96;1;
1990-01-11;.2;5.9;58.8;28.6;23;19.2;90.3;72;3;
1990-01-12;1.6;1.4;1.7;26.9;22.9;20.6;93;81;2.3;
1990-01-13;1;.4;5.3;26.6;21.8;19.7;94.3;89;2.3;
1990-01-14;.5;3.5;28.1;26.8;22.8;19;94;89;1.3;
1990-01-15;1.2;4.1;3.8;30.5;22.4;18;88.3;69;1.3;
1990-01-16;1.2;2.8;83.6;27.3;22;18.1;94.8;89;2;
1990-01-17;1;6.3;12.9;30.5;23.7;18.1;84.3;70;2.3;
1990-01-18;1.9;6;0;29.8;24.2;19.9;87;70;1;
1990-01-19;2;1;5.8;29.8;23.4;20.1;87.8;71;2.3;
1990-01-20;1.5;2.8;25.6;28;23.3;19.2;87;77;.7;
1990-01-21;1.4;2.4;.2;29.7;24.1;20;84.5;69;2;
1990-01-22;2;0;0;28;22.3;20.2;90;76;1.7;
1990-01-23;1;8;1.8;31;23.2;18.6;88.5;71;2.7;
1990-01-24;1.5;8.4;41.9;31;25.8;19.6;81.8;71;2.3;
1990-01-25;3;0;0;29.3;24.4;21.5;88;84;2.3;
1990-01-26;1.5;4.5;0;31.1;25.4;20.8;83;67;1.7;
1990-01-27;2.5;8.7;0;31.4;25.7;21.9;77.3;63;1;
1990-01-28;3.2;11.6;0;30.5;26.5;21.8;73.5;65;2.3;
1990-01-29;3.8;10.3;0;31.4;26;22;74;63;2;
1990-01-30;3.6;9.8;0;28.6;23.9;20;81.5;67;3;
1990-01-31;2.7;6.3;0;31.8;24.1;19.4;81.8;69;1;
1990-02-01;3.3;10.7;0;32.6;26;20;76;56;2.7;
1990-02-02;4;5.8;0;29;24.7;20.4;75.8;67;2;
1990-02-03;3.2;8.1;0;31.2;25.6;20.1;75.3;64;1.3;
1990-02-04;3.9;10.6;0;32.3;26.1;20.6;72.8;56;1.3;
1990-02-05;4.3;11.4;0;32.6;26.2;20.8;69.5;62;2.3;
1990-02-06;4.6;10.9;0;32;25.5;19.3;72.8;60;1.7;
1990-02-07;3.9;10.6;0;31.7;24.7;15.7;72.3;60;1.7;
1990-02-08;3.1;11;.1;32.9;25.7;19.2;70.3;53;2.3;
1990-02-09;3.9;9;.5;33.2;26.2;19.9;76.3;63;2.3;
1990-02-10;3.6;4.9;0;30.8;25.3;21;81.5;73;3.3;
1990-02-11;2.5;4.7;4.7;30;22.4;16;87;67;2.3;
1990-02-12;1.8;3.8;3.3;27.2;23.3;19.8;89.3;78;2.3;
1990-02-13;1.1;5.3;23.1;29.9;24.8;21.2;84.3;70;2;
1990-02-14;2.5;11.1;3.7;30.3;24;19.2;80.5;65;2;
1990-02-15;3.4;11.3;0;30.3;24.1;18.4;79;62;2.3;
1990-02-16;3.6;10.7;0;29.3;23.2;18.2;81.5;59;2.7;
1990-02-17;4.7;11.2;0;30.1;23.4;17;78.3;61;1.7;
1990-02-18;3.8;11;0;31.5;23.4;16.2;75;53;1.7;
1990-02-19;4.5;10.8;0;31;24.7;16.2;70.8;61;2.7;
1990-02-20;5.1;10.1;0;31.6;24.8;19.1;77.8;59;2.7;
1990-02-21;4.3;8.5;0;32.6;24.5;17.5;73.3;53;2.3;
1990-02-22;4.2;.9;0;27.7;23.2;20.9;88.8;79;1.7;
1990-02-23;1.7;8;2;30.2;23.6;19.3;80.3;62;1.7;
1990-02-24;4.2;3;0;30;21.7;13;84.5;64;1.7;
1990-02-25;3;7.3;0;30;24.4;22.8;73.8;56;1.7;
1990-02-26;4.7;5.6;0;28.4;21;15.1;68.8;52;3;
1990-02-27;5.7;.5;0;26.3;19.5;13.4;72.8;53;2;
1990-02-28;4.1;null;0;29.6;20.7;12.4;69;49;1.7;
