Nome: CASTRO
Codigo Estacao: 83813
Latitude: -24.78694444
Longitude: -49.99916666
Altitude: 994.68
Situacao: Fechada
Data Inicial: 1990-01-01
Data Final: 2021-07-24
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1990-01-01;8.1;.5;.3;23;20.3;18.2;99.8;99;0;
1990-01-02;.1;0;113.5;21.6;19.8;18.8;99.3;99;1;
1990-01-03;.2;.3;10.6;23.4;18.3;14.8;89.5;77;.3;
1990-01-04;1.1;5.8;0;25.5;19.4;15.5;85.3;69;1.3;
1990-01-05;1.4;0;0;21.3;18.3;16.1;93;82;.7;
1990-01-06;.9;0;9.1;21.8;18.6;15.8;99;96;.3;
1990-01-07;.3;1.3;14.4;25;20.9;17.9;89.5;76;.7;
1990-01-08;1.8;3.4;7.8;25.7;20.6;18.3;91.8;77;1.3;
1990-01-09;.8;0;62.8;23.2;17.7;12.4;95.8;83;1.3;
1990-01-10;.1;0;85;20.4;18.7;16.5;99.8;99;.7;
1990-01-11;.2;0;31.1;26.2;21;17.5;86.8;71;3.3;
1990-01-12;1.5;0;.7;24.2;20.9;19.4;95.5;87;.3;
1990-01-13;.9;null;45;23.5;20.7;18.2;92;82;.7;
1990-01-14;1.2;null;2.9;27.2;21.6;18.4;81.8;59;.7;
1990-01-15;3.3;null;3.3;28.4;20.7;17.2;95.5;87;.3;
1990-01-16;.9;null;20.5;28.1;20.5;17.2;88.3;66;.7;
1990-01-17;2.4;null;7.1;29.2;22;17.8;85;72;.7;
