Nome: CURITIBA
Codigo Estacao: 83842
Latitude: -25.4486111
Longitude: -49.23055554
Altitude: 923.5
Situacao: Fechada
Data Inicial: 1990-01-01
Data Final: 2021-07-24
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1990-01-01;2.2;3.8;null;25.2;20.9;null;90.3;86;null;
1990-01-02;null;null;9.3;null;16.6;15.1;95.3;96;1.8;
1990-01-03;.7;0;19.6;19.5;16.8;14.4;91.8;86;1.8;
1990-01-04;.8;5.4;.1;24.3;18.9;15.4;86.8;78;1.9;
1990-01-05;1.3;.3;3.8;21.3;18.1;15.7;94.5;90;1.6;
1990-01-06;1;0;10.7;22.2;19.5;17.2;92;85;1.8;
1990-01-07;.5;.6;4.4;24.6;20.7;18.2;92;87;2;
1990-01-08;1.5;.8;17;24.2;20.4;18.8;93.3;89;2.4;
1990-01-09;1.1;0;13.9;20.5;18.4;17.4;94;91;1.9;
1990-01-10;.5;0;13.4;20.2;18.1;16.4;98;97;2;
1990-01-11;.4;4.6;31.6;26;21.5;17.6;86;76;4.3;
1990-01-12;2.3;0;.9;23.5;20.7;19.4;91.3;82;2.8;
1990-01-13;1;1.5;14;25.9;21.9;18.7;86.5;76;2;
1990-01-14;1.6;6.6;1.3;28.4;21.7;17.9;84.5;57;2.4;
1990-01-15;2.9;2.2;19.7;26.6;20.4;17.6;90.3;72;1.8;
1990-01-16;1;4.8;28.8;27.9;20.7;16.9;82.5;62;2.3;
1990-01-17;2.6;6.6;10.9;29.1;22.5;17.5;75;54;2.3;
1990-01-18;3.8;3.4;.2;28.5;21.6;18.4;86;77;1.6;
1990-01-19;2.8;0;12.4;19.8;17.3;15.8;89.3;83;1.8;
1990-01-20;1.1;4.9;0;27;22;16.1;74;57;3.2;
1990-01-21;3;3.2;8.1;26.5;21;18.4;84;67;1.3;
1990-01-22;1.5;.1;9.5;21.4;19.6;18.6;86.3;82;3.3;
1990-01-23;1.4;9;1.7;27.9;20.4;15.2;81;56;2.8;
1990-01-24;2.4;5.8;0;29.2;23.3;17.6;73;63;2.8;
1990-01-25;4.6;.2;0;27.4;22.3;19.1;82.8;72;2.5;
1990-01-26;1.9;5.1;9.2;28.8;22;17.7;84.3;60;1.7;
1990-01-27;1.5;8.9;38.8;27.6;22;18.8;82.5;67;2.2;
1990-01-28;2.1;5.7;0;27.4;21;17.4;79.8;65;2.1;
1990-01-29;1.8;9.1;0;30.2;22.8;18;76.8;44;2;
1990-01-30;4;10.6;0;30.6;24.1;18.4;65.8;44;1.8;
1990-01-31;4.7;5.2;0;29.6;23.8;18.9;74.3;55;1.3;
1990-02-01;3.2;11;0;28;21.2;16.2;72;42;2.6;
1990-02-02;4.2;9;0;27.8;20.8;16.4;76.5;55;2.9;
1990-02-03;2.8;5.7;0;28.2;20.9;15.9;79.3;61;2.3;
1990-02-04;3.6;9.2;0;26.9;20.4;16.5;75.8;59;2.8;
1990-02-05;1.9;9.8;1.5;26.3;20.9;17.7;79.5;62;3.3;
1990-02-06;3.3;10.8;.1;27.4;20.6;16.5;76.3;54;2.4;
1990-02-07;2.7;10.2;0;29.5;21.9;15.4;70.5;41;2.1;
1990-02-08;3.7;9.2;0;30.8;23;17.3;68.8;42;2.7;
1990-02-09;3.8;8.3;0;31.1;22.4;18.6;78.3;55;1.9;
1990-02-10;3.6;4.7;21.7;28.8;22.1;18.8;89;82;1.4;
1990-02-11;1.4;5.7;5.4;28.4;21.7;18.9;82.8;57;2;
1990-02-12;1.8;3.6;4.8;27.4;21.2;18.6;87.5;70;1.4;
1990-02-13;1.2;1.2;25.2;25.8;21.5;18.3;88.8;80;1.1;
1990-02-14;1.4;5.4;2.7;27.7;22.1;18.7;83.8;62;1.9;
1990-02-15;1.9;10.3;0;29.5;22.6;19.1;80.3;55;1.9;
