Nome: PARANAGUA
Codigo Estacao: 83844
Latitude: -25.5361111
Longitude: -48.52833332
Altitude: 4.5
Situacao: Fechada
Data Inicial: 1990-01-01
Data Final: 2021-08-25
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1990-01-01;3.9;.3;41.8;27.2;24;22.2;95.3;85;2.5;
1990-01-02;1.5;0;28.1;22.7;20;18.1;94.5;91;7.3;
1990-01-03;1;.1;11;23.2;20.8;18;91;81;1.3;
1990-01-04;1.2;10.3;.9;27.4;23.6;18.5;80.5;67;3.2;
1990-01-05;2.7;0;2;24.5;22.4;20.7;97;87;1.7;
1990-01-06;.8;0;41.8;25.4;23.1;20.5;96;92;1.6;
1990-01-07;.5;.3;11.7;30;24.9;21.7;91.3;75;1.9;
1990-01-08;1.3;0;10.4;26.4;24.4;23.3;94.3;86;.7;
1990-01-09;1.1;0;99.4;25.4;22.8;20.1;93;88;4.7;
1990-01-10;1;0;40.4;24.9;22.7;19.6;94.5;92;.6;
1990-01-11;.6;1.5;23.8;30.2;24.6;19.7;93;77;1.2;
1990-01-12;.7;.1;3.4;28;24.6;19.1;92;82;.3;
1990-01-13;1.4;1.3;7.5;30.4;26.2;22.3;86.5;74;.9;
1990-01-14;2.1;4.7;0;35;27.9;23.3;77.8;56;2;
1990-01-15;2.9;.2;40.8;28.8;25.5;22.1;85.8;67;2.3;
1990-01-16;2.3;3.6;6.6;30.2;25.3;22;90.8;74;3.3;
1990-01-17;1.5;5.5;47;33.6;27.3;21.9;76;52;1.6;
1990-01-18;3.5;4.7;1.8;33.1;26.3;21.1;82;64;4.6;
1990-01-19;3.2;0;23.2;23;20.8;18.8;85.3;78;3.1;
1990-01-20;2.1;3;0;29.2;23.8;19.2;83.3;68;2;
1990-01-21;2.2;2.4;10.5;28.2;24.3;22.5;95.8;90;2.4;
1990-01-22;1.7;0;14.2;25.8;24.4;21.7;91.8;91;.2;
1990-01-23;1.9;6.5;1;31.6;26.5;20.9;77.8;59;2.6;
1990-01-24;3.6;4.8;0;32.4;27.6;22.3;79.8;64;3.3;
1990-01-25;2.6;.5;0;32.2;27.1;21.5;88.5;80;1.6;
1990-01-26;2.7;3.1;6;31;26.7;21.3;82.3;73;3.6;
1990-01-27;3.1;7.8;.4;32;27.4;23.7;79.5;68;2.4;
1990-01-28;2.4;4.6;0;30.4;26.3;22.8;82.5;70;2.2;
1990-01-29;2.6;7.9;0;31.8;27.8;22.7;77;64;3.8;
1990-01-30;3.7;8.6;0;33.2;29.3;26.5;79.5;63;3.2;
1990-01-31;3.3;4;0;34.6;29.1;25.1;79.8;63;2.3;
1990-02-01;2.8;7.9;0;32;27.5;22.9;69.3;60;3.5;
1990-02-02;3.9;6.5;0;31.6;26.8;21.3;null;61;3.5;
1990-02-03;4.9;1.2;0;30.8;26.1;22.1;78.5;65;2.6;
1990-02-04;4;7.2;0;31;25.4;20.9;80.3;56;2.2;
1990-02-05;4;3.6;21.2;30;26.4;22.3;78.3;66;3.6;
1990-02-06;2.8;8.4;.9;30.2;26.4;22.1;75.5;63;3.3;
1990-02-07;4;8.6;0;30.8;26.6;21.8;74.5;61;3.7;
1990-02-08;4.4;5.7;0;33.2;26.9;21.9;82.8;61;1.6;
1990-02-09;2.8;4.4;0;32;27.5;22.1;81.5;71;2.6;
1990-02-10;2.8;.4;50;29.2;25.6;22.3;88;76;1.4;
1990-02-11;2;4.1;0;31.2;26.8;23.1;82;61;1.9;
1990-02-12;4.8;2.5;0;31.8;27.2;24;84.5;67;2.9;
1990-02-13;2.7;.7;5.3;31.2;26.5;22.5;81.3;64;.3;
1990-02-14;2;5.5;15.2;31.2;27.2;22.9;82.8;71;2.7;
1990-02-15;3.1;6.3;0;31.8;27.6;22.8;78.3;64;2.6;
1990-02-16;3.4;4.2;3.6;31.2;27.1;21.9;77.3;67;1.8;
1990-02-17;3.8;7.8;0;33;27.2;22.5;69.3;51;3.1;
1990-02-18;5.8;3.8;17.8;29.2;24.6;21.5;84.5;63;2;
1990-02-19;2.6;3.6;11.5;28.4;24.4;21.5;79.5;64;5.2;
1990-02-20;5.2;5.5;0;29.2;25;19.7;73.5;62;4.3;
1990-02-21;4.3;5;0;31.8;26.7;21.7;76;50;2;
1990-02-22;3.5;0;2.9;27;24.7;22.1;89.5;82;1.5;
1990-02-23;1.3;3;11.2;29.8;24;19.9;84.3;73;1.1;
1990-02-24;2.6;.1;10.4;28.8;23.4;19.7;82.8;75;2.8;
1990-02-25;2.5;1.9;.6;29.8;24.6;20.9;87.8;73;1;
1990-02-26;1.8;4.8;2.8;31.4;26.6;21.3;82.5;62;2.8;
1990-02-27;3.9;3.8;0;32;25.3;18.1;67;43;2.9;
1990-02-28;4.8;3.5;0;32.2;25.5;17.7;72;55;5;
1990-03-01;4.9;2.5;0;31.6;26;20.5;81.8;64;2.5;
1990-03-02;2.9;.9;0;31.8;25.4;22.3;86;66;1.6;
1990-03-03;2.2;2.4;7;31.8;26.2;22.8;85.3;67;2.1;
1990-03-04;2.8;1.7;0;32.2;27.1;22.8;84.3;72;2.7;
1990-03-05;3;1.5;1.7;32.6;26.6;22.2;83.8;73;4.1;
1990-03-06;2.7;.7;12.8;31.6;24.9;21.9;87.5;65;2.4;
1990-03-07;2.7;0;21.9;27.8;24.8;21.8;89.5;78;2.4;
1990-03-08;2.1;1.6;26;30.6;26;23;83.8;73;2.1;
1990-03-09;2.5;.2;.5;28.8;26;23.4;87;81;1.9;
1990-03-10;1.8;1.1;8;31.2;26.3;22.7;87.3;70;2.7;
1990-03-11;2.4;1.5;0;32.2;26.9;23.3;80.3;40;2;
1990-03-12;2.4;1.4;0;32.6;27.5;24.3;88;69;2.5;
1990-03-13;2.4;1.1;0;33.2;27;24.1;85.3;70;1.9;
1990-03-14;2.4;1.8;2.2;32.2;26.9;23.3;79.5;65;2.4;
1990-03-15;3;.3;0;32.6;27.2;23.4;86.5;71;1.7;
1990-03-16;1.9;.8;9.8;30.4;25.3;21.8;85.5;65;1.5;
1990-03-17;2.2;.1;1;30.2;26;21.6;84.3;74;2.5;
1990-03-18;2.3;2.5;50.2;31.6;26.7;22.7;82.3;64;2.4;
1990-03-19;2.9;0;16.8;27.4;23.4;21.1;96;84;1.5;
1990-03-20;.4;0;90.4;23.2;22.1;20.8;96.3;96;2.6;
1990-03-21;.4;0;63.4;24.8;22.7;21.7;97.5;96;2;
1990-03-22;.4;0;12.2;24;21.2;20.7;90.5;91;1.7;
1990-03-23;1.4;0;19.7;23.6;21.1;18.7;94.3;86;2;
1990-03-24;.2;2.3;21.5;29.5;23.6;19;87.8;72;1.7;
1990-03-25;1.5;3.9;0;29.2;24.4;18.5;81.8;75;1.4;
1990-03-26;3.3;.7;0;29.6;24.5;18.1;78;79;2;
1990-03-27;3.2;0;0;29;24;21.6;89.5;74;2.3;
1990-03-28;1.8;0;.5;23.4;21.3;19.1;90.8;89;.6;
1990-03-29;1;0;.6;26.8;23.3;18.7;90.5;83;1;
1990-03-30;1.2;2.6;0;31.6;25.8;20.4;87.5;72;2.7;
1990-03-31;2.3;1.9;0;30.2;24.5;21.7;87;75;2;
1990-04-01;3.5;1.5;0;28.7;24.2;21.3;89;82;1.8;
1990-04-02;1.9;2.9;0;30.8;25.5;21.3;86.5;63;2.3;
1990-04-03;2.6;.1;5.3;27.4;24.3;21.2;82.8;70;3.1;
1990-04-04;2.2;3.7;0;30.4;26.4;20.9;81.3;68;1;
1990-04-05;2.2;3.9;16;33.2;26.8;22.1;82.3;66;4.7;
1990-04-06;1.4;2.7;11.8;33.4;25.9;19.5;84.8;71;2.2;
1990-04-07;2.8;0;114.2;26.4;22.9;19.1;95.5;88;1.9;
1990-04-08;1.4;.3;2.4;28.8;24.8;22.4;85.8;69;2.1;
1990-04-09;2.2;5.6;2;29.6;24.7;19.9;81;69;1.3;
1990-04-10;2.6;5.9;0;29.6;25.3;21.3;82;67;2.8;
1990-04-11;2.2;5.2;0;29.2;25;20.3;82.5;71;2.1;
1990-04-12;2.8;3.5;21.2;29;24.8;21.2;84.5;70;2.1;
1990-04-13;2.2;2.6;0;29;25.5;22.7;82.8;68;1.2;
1990-04-14;1.8;4;0;29.8;25.1;22.1;82.3;66;2.1;
1990-04-15;1.9;5.4;0;29.4;24.3;20.4;89.3;70;2;
1990-04-16;3.1;1.8;0;32.1;26.9;22.4;80.8;64;2.1;
1990-04-17;2.6;0;0;31.5;27;22.7;68.3;55;.2;
1990-04-18;3.9;0;1.2;25.4;18.2;15.4;85.3;67;4.9;
