Nome: PORTO UNIAO
Codigo Estacao: 83864
Latitude: -26.23
Longitude: -51.07
Altitude: 778
Situacao: Desativada
Data Inicial: 1990-01-01
Data Final: 1991-12-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1990-01-01;null;null;null;null;null;null;null;null;null;
1990-01-02;null;null;null;null;null;null;null;null;null;
1990-01-03;null;null;null;null;null;null;null;null;null;
1990-01-04;null;null;null;null;null;null;null;null;null;
1990-01-05;null;null;null;null;null;null;null;null;null;
1990-01-06;null;null;null;null;null;null;null;null;null;
1990-01-07;null;null;null;null;null;null;null;null;null;
1990-01-08;null;null;null;null;null;null;null;null;null;
1990-01-09;null;null;null;null;null;null;null;null;null;
1990-01-10;null;null;null;null;null;null;null;null;null;
1990-01-11;null;null;null;null;null;null;null;null;null;
1990-01-12;null;null;null;null;null;null;null;null;null;
1990-01-13;null;null;null;null;null;null;null;null;null;
1990-01-14;null;null;null;null;null;null;null;null;null;
1990-01-15;null;null;null;null;null;null;null;null;null;
1990-01-16;null;null;null;null;null;null;null;null;null;
1990-01-17;null;null;null;null;null;null;null;null;null;
1990-01-18;null;null;null;null;null;null;null;null;null;
1990-01-19;null;null;null;null;null;null;null;null;null;
1990-01-20;null;null;null;null;null;null;null;null;null;
1990-01-21;null;null;null;null;null;null;null;null;null;
1990-01-22;null;null;null;null;null;null;null;null;null;
1990-01-23;null;null;null;null;null;null;null;null;null;
1990-01-24;null;null;null;null;null;null;null;null;null;
1990-01-25;null;null;null;null;null;null;null;null;null;
1990-01-26;null;null;null;null;null;null;null;null;null;
1990-01-27;null;null;null;null;null;null;null;null;null;
1990-01-28;null;null;null;null;null;null;null;null;null;
1990-01-29;null;null;null;null;null;null;null;null;null;
1990-01-30;null;null;null;null;null;null;null;null;null;
1990-01-31;null;null;null;null;null;null;null;null;null;
1990-02-01;null;null;null;null;null;null;null;null;null;
1990-02-02;null;null;null;null;null;null;null;null;null;
1990-02-03;null;null;null;null;null;null;null;null;null;
1990-02-04;null;null;null;null;null;null;null;null;null;
1990-02-05;null;null;null;null;null;null;null;null;null;
1990-02-06;null;null;null;null;null;null;null;null;null;
1990-02-07;null;null;null;null;null;null;null;null;null;
1990-02-08;null;null;null;null;null;null;null;null;null;
1990-02-09;null;null;null;null;null;null;null;null;null;
1990-02-10;null;null;null;null;null;null;null;null;null;
1990-02-11;null;null;null;null;null;null;null;null;null;
1990-02-12;null;null;null;null;null;null;null;null;null;
1990-02-13;null;null;null;null;null;null;null;null;null;
1990-02-14;null;null;null;null;null;null;null;null;null;
1990-02-15;null;null;null;null;null;null;null;null;null;
1990-02-16;null;null;null;null;null;null;null;null;null;
1990-02-17;null;null;null;null;null;null;null;null;null;
1990-02-18;null;null;null;null;null;null;null;null;null;
1990-02-19;null;null;null;null;null;null;null;null;null;
1990-02-20;null;null;null;null;null;null;null;null;null;
1990-02-21;null;null;null;null;null;null;null;null;null;
1990-02-22;null;null;null;null;null;null;null;null;null;
1990-02-23;null;null;null;null;null;null;null;null;null;
1990-02-24;null;null;null;null;null;null;null;null;null;
1990-02-25;null;null;null;null;null;null;null;null;null;
1990-02-26;null;null;null;null;null;null;null;null;null;
1990-02-27;null;null;null;null;null;null;null;null;null;
1990-02-28;null;null;null;null;null;null;null;null;null;
1990-03-01;null;null;null;null;null;null;null;null;null;
1990-03-02;null;null;null;null;null;null;null;null;null;
1990-03-03;null;null;null;null;null;null;null;null;null;
1990-03-04;null;null;null;null;null;null;null;null;null;
1990-03-05;null;null;null;null;null;null;null;null;null;
1990-03-06;null;null;null;null;null;null;null;null;null;
1990-03-07;null;null;null;null;null;null;null;null;null;
1990-03-08;null;null;null;null;null;null;null;null;null;
1990-03-09;null;null;null;null;null;null;null;null;null;
1990-03-10;null;null;null;null;null;null;null;null;null;
1990-03-11;null;null;null;null;null;null;null;null;null;
1990-03-12;null;null;null;null;null;null;null;null;null;
1990-03-13;null;null;null;null;null;null;null;null;null;
1990-03-14;null;null;null;null;null;null;null;null;null;
