Nome: IRAI
Codigo Estacao: 83881
Latitude: -27.189451
Longitude: -53.253338
Altitude: 255.39
Situacao: Desativada
Data Inicial: 1990-01-01
Data Final: 2018-07-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1990-01-01;null;1.8;13.6;28;24.3;21.6;86.8;74;null;
1990-01-02;null;5.9;0;29;24.1;21.6;74;69;null;
1990-01-03;null;7.6;0;29.2;23.8;17.8;69.5;58;null;
1990-01-04;null;12.3;0;33.6;26.2;20;63.5;40;null;
1990-01-05;null;12.6;0;34.2;27.6;20.4;53.3;41;null;
1990-01-06;null;12.6;0;34;28.1;20.4;58.3;47;null;
1990-01-07;null;9.4;0;35;27.8;22.4;65;46;null;
1990-01-08;null;11.8;0;34.6;27.5;22;66.8;46;null;
1990-01-09;null;7.8;0;33;27;22.8;60.8;47;null;
1990-01-10;null;.8;0;29;24;22;74.5;60;null;
1990-01-11;null;7.2;5.4;31.2;25.1;18.6;73.3;58;null;
1990-01-12;null;9.8;0;34.8;27.3;20.6;66.8;49;null;
1990-01-13;null;6.9;0;32.2;26.6;21.8;85.5;68;null;
1990-01-14;null;5.6;.8;31.6;27.2;23.4;71.3;70;null;
1990-01-15;null;6.2;0;26.8;23.6;21;78.3;53;null;
1990-01-16;null;1.6;5.9;33.6;24.8;20.8;79.8;68;null;
1990-01-17;null;9.2;4.8;22;null;20.4;75.3;46;null;
1990-01-18;null;.5;27.2;26.2;19.1;16.6;76.5;72;null;
1990-01-19;null;4.3;1.8;26.2;21.4;15.6;83.8;75;null;
1990-01-20;null;3.8;.6;28.4;24.2;21.2;83;73;null;
1990-01-21;null;0;13.4;25.8;22.8;20.6;89.8;82;null;
