Nome: CHAPECO
Codigo Estacao: 83883
Latitude: -27.13555555
Longitude: -52.66305555
Altitude: 654
Situacao: Desativada
Data Inicial: 1990-01-01
Data Final: 2017-01-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1990-01-01;null;1.2;3;24.8;22.2;19.8;85.3;79;null;
1990-01-02;null;3.1;9.7;24.8;20.2;18.6;84.8;80;null;
1990-01-03;null;3.4;0;24.4;20.2;15;82.3;78;null;
1990-01-04;null;10;0;28.8;23.3;16.8;65.8;52;null;
1990-01-05;null;null;0;28.8;23.5;18.6;64.3;47;null;
1990-01-06;null;10.2;0;30.1;24.8;18.4;66.3;57;null;
1990-01-07;null;4.9;0;29.8;23.7;20.8;81;64;null;
1990-01-08;null;4.7;1;28;23.9;20.2;81.5;73;null;
1990-01-09;null;5.5;1.2;27.3;22.3;19;76.8;62;null;
1990-01-10;null;.6;0;24.7;20.3;18.2;90;82;null;
1990-01-11;null;3.7;5;27;22.6;17.5;80;75;null;
1990-01-12;null;9.8;0;30.3;24.3;19.7;75.5;58;null;
1990-01-13;null;4.4;0;27.4;22.9;20.2;90.5;80;null;
1990-01-14;null;4.2;27.7;27.2;23.5;20.2;85;80;null;
1990-01-15;null;5.1;2.7;29.1;22.2;19.6;84;62;null;
1990-01-16;null;1.2;5.3;23.7;20.8;19.2;87;88;null;
1990-01-17;null;9.6;8.6;30;22.4;19.7;79.5;55;null;
1990-01-18;null;0;19.4;null;16.3;15.2;92;95;null;
1990-01-19;null;5;5.5;24.7;19;13.4;89;83;null;
1990-01-20;null;4.5;2.2;25.2;21.6;19.6;90.3;80;null;
1990-01-21;null;0;36.6;23.3;20.6;19.4;89.3;79;null;
1990-01-22;null;1.8;32.2;22.6;18.8;12.2;89.5;81;null;
1990-01-23;null;6;0;27.7;21.6;16.2;85.5;68;null;
1990-01-24;null;5.5;18.4;28.6;21.2;18.4;89.3;69;null;
1990-01-25;null;.6;50.8;24.8;21.7;19.1;90;85;null;
1990-01-26;null;9.7;5.5;31.1;24.9;19.2;78;60;null;
1990-01-27;null;11.3;0;32.5;26.7;21.8;71.8;57;null;
1990-01-28;null;null;null;null;null;null;null;78;null;
1990-01-29;null;11.9;4.8;31.2;26.3;21;66.8;52;null;
1990-01-30;null;11.6;0;31.2;25.8;20.6;61;51;null;
1990-01-31;null;7.2;0;31;23.1;20;77.5;53;null;
1990-02-01;null;7.1;5.1;31.3;22.4;18.8;78.5;55;null;
1990-02-02;null;11.4;6.7;31.6;23.8;16.6;63.5;48;null;
1990-02-03;null;11.8;0;31.1;25.7;20.3;66.3;42;null;
1990-02-04;null;11.6;1.3;31.7;25.9;20.2;57.3;47;null;
1990-02-05;null;12;0;31.4;25.6;19.8;57.8;39;null;
1990-02-06;null;10.8;0;30.8;25.3;19.4;61.8;47;null;
1990-02-07;null;11.5;0;31.6;25.8;20.4;57;43;null;
1990-02-08;null;9;0;32.4;25;20.8;65;46;null;
1990-02-09;null;null;0;null;23.6;20;null;70;null;
