Nome: CAMPOS NOVOS
Codigo Estacao: 83887
Latitude: -27.38388888
Longitude: -51.21611111
Altitude: 962.86
Situacao: Fechada
Data Inicial: 1990-01-01
Data Final: 2017-07-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1990-01-01;null;null;0;23.7;19.7;17.8;92.5;85;null;
1990-01-02;null;null;10.1;null;15.9;14.8;96.3;91;null;
1990-01-03;null;null;13.4;22.5;16.8;11.4;86.8;66;null;
1990-01-04;null;null;.2;26.8;21;15;64.8;55;null;
1990-01-05;null;null;0;25.2;19;15;80.5;56;null;
1990-01-06;null;null;0;26.2;20.4;16.2;82.3;59;null;
1990-01-07;null;null;5;23.3;20.4;17.4;94.3;80;null;
1990-01-08;null;null;6.6;27.2;21.9;17.8;83.3;70;null;
1990-01-09;null;null;2.5;null;18.1;16.7;90.8;77;null;
1990-01-10;null;null;2.2;18;14.5;13;98;96;null;
1990-01-11;null;null;8.2;24.4;20.2;15.8;83;70;null;
1990-01-12;null;null;0;26.2;21.4;16.2;78;69;null;
1990-01-13;null;null;null;null;null;null;null;80;null;
1990-01-14;null;null;16.8;28;21.6;18.2;89.5;96;null;
1990-01-15;null;null;7.4;27;21.4;17;82.5;64;null;
1990-01-16;null;null;.4;22.5;19.3;17.5;94;82;null;
1990-01-17;null;null;18.2;28;21.7;16.8;80.5;55;null;
1990-01-18;null;null;19;null;15.8;13.2;93;96;null;
1990-01-19;null;null;15.1;19.5;15.7;12;96.5;90;null;
1990-01-20;null;null;16.7;24.2;19;15.2;91;84;null;
1990-01-21;null;null;12.6;20;18.7;17.2;98;94;null;
1990-01-22;null;null;40.3;null;17.1;16;99.5;99;null;
1990-01-23;null;null;72.8;26.4;20.9;14.5;72;59;null;
1990-01-24;null;null;.6;27;22.6;18.5;77.5;67;null;
1990-01-25;null;null;33.2;null;20.1;17.2;93.3;78;null;
1990-01-26;null;null;7.8;28.2;23;18.5;71.3;63;null;
1990-01-27;null;null;0;29;22.6;16.8;73.8;56;null;
1990-01-28;null;null;null;null;null;null;null;79;null;
1990-01-29;null;null;0;28.8;23.2;18.3;72.5;63;null;
1990-01-30;null;null;.6;29;22.7;18.8;72.3;55;null;
1990-01-31;null;null;28.5;29.7;21.4;17.8;82.8;57;null;
1990-02-01;null;6.7;43.2;29.8;22.3;16.8;69.5;42;null;
1990-02-02;null;12.3;0;29;21.1;15;65.3;42;null;
1990-02-03;null;11.5;0;28.2;22.2;17.8;65.5;55;null;
1990-02-04;null;10.3;0;29;21.8;17;77;66;null;
1990-02-05;null;11.5;0;27.5;21.4;16;72.3;53;null;
1990-02-06;null;11.8;0;28.2;21.5;15.2;65.3;47;null;
1990-02-07;null;11.2;0;28.5;23.1;17;66.5;50;null;
1990-02-08;null;10.5;0;30.4;22.6;16;63.3;45;null;
1990-02-09;null;7.2;0;28.3;21.3;18;85;66;null;
1990-02-10;null;6.5;66.7;27.4;20.6;17.7;88.8;71;null;
1990-02-11;null;.4;50.2;24.8;20;17.2;96.5;89;null;
1990-02-12;null;2.4;19.9;25;20.6;17.8;84;83;null;
1990-02-13;null;7.6;1.3;27;22.3;18.4;82;66;null;
1990-02-14;null;7.8;.5;27.4;21.6;18.6;80.8;56;null;
1990-02-15;null;9.6;0;26.6;20.8;15.3;84;61;null;
1990-02-16;null;10;0;24.8;19.4;16;80.5;58;null;
1990-02-17;null;8.4;0;23.6;19;15.4;74.3;62;null;
1990-02-18;null;11.7;0;23.8;18.7;13.6;77;68;null;
1990-02-19;null;11.3;0;24.4;18.7;12.8;72;50;null;
1990-02-20;null;10.6;0;26.4;20.1;13;68.8;60;null;
1990-02-21;null;9.8;0;28.4;21.5;16.2;72;50;null;
1990-02-22;null;4.6;9.4;null;18.5;17.2;100;74;null;
1990-02-23;null;4.6;17.6;20;17.8;17;94.8;81;null;
1990-02-24;null;6.7;2;23;17.4;12.2;90.5;80;null;
1990-02-25;null;4.1;7.3;22;17.1;14.7;96;91;null;
1990-02-26;null;8.3;2.2;21.8;16.7;14.6;78;58;null;
1990-02-27;null;8.3;4.7;20.8;15.9;13.1;76;64;null;
1990-02-28;null;null;0;21;16;11.2;79.8;67;null;
1990-03-01;null;null;0;26.4;19.8;11.8;65.8;49;null;
1990-03-02;null;11.1;0;27.3;20;13;72.8;51;null;
1990-03-03;null;null;0;26.3;19.8;16;85.5;61;null;
1990-03-04;null;null;27.4;27.4;21.6;15.3;80.3;64;null;
1990-03-05;null;null;0;25.2;20;17.2;93.8;77;null;
1990-03-06;null;null;53.8;24.3;19.1;15.8;90;76;null;
1990-03-07;null;null;0;27.2;20.9;15;80.3;60;null;
1990-03-08;null;null;0;27.6;21.5;16.2;81;63;null;
1990-03-09;null;null;0;26.6;21;16.5;87.3;66;null;
1990-03-10;null;null;0;28;22.4;16;66;59;null;
1990-03-11;null;null;0;28.4;20.9;17.4;87.5;60;null;
1990-03-12;null;null;9;28.6;22.2;16.8;79;57;null;
1990-03-13;null;null;0;28.6;22;18;90.3;74;null;
1990-03-14;null;null;4;29.4;22.6;18.2;71.3;50;null;
1990-03-15;null;null;4.6;28.4;21.2;17.2;83.8;55;null;
1990-03-16;null;null;10.4;23;20.7;17.8;92.3;85;null;
1990-03-17;null;null;3.2;27;21.5;17.8;81.3;62;null;
1990-03-18;null;null;0;27;21.7;17.8;82;57;null;
1990-03-19;null;null;.5;25.6;20.6;17.8;87.5;63;null;
1990-03-20;null;null;0;25.6;20.2;17;91.3;77;null;
1990-03-21;null;null;25.5;25.2;18.9;16.8;88.3;65;null;
1990-03-22;null;.2;21.6;20.4;16.8;15;90;72;null;
1990-03-23;null;null;.7;22;17.5;14.3;89.8;75;null;
1990-03-24;null;null;3.1;23;18.5;16;91.3;75;null;
1990-03-25;null;null;.3;21.1;16.8;12.5;72.8;55;null;
1990-03-26;null;null;0;23.8;17;11.2;80.8;58;null;
1990-03-27;null;null;19.8;17.4;15.2;13.8;97.5;90;null;
1990-03-28;null;null;.3;23.8;16.8;11.8;94.5;80;null;
1990-03-29;null;null;0;26.4;19.6;16;91.8;83;null;
1990-03-30;null;null;22.5;26.4;21.6;16.2;81.5;68;null;
1990-03-31;null;null;.7;null;17.8;16.2;95;83;null;
1990-04-01;null;null;1.4;23.6;18.6;11.8;83.5;66;null;
1990-04-02;null;null;0;25.6;19.3;16.6;94.3;87;null;
1990-04-03;null;null;28.4;25.4;16.8;11.3;89.3;59;null;
1990-04-04;null;null;0;24.2;18.8;14.8;87.5;70;null;
1990-04-05;null;null;46.2;26.4;20.3;17.2;91.5;83;null;
1990-04-06;null;null;11.5;20.4;17.5;15.6;95;88;null;
1990-04-07;null;null;17;23.2;18.1;14.6;94.8;83;null;
1990-04-08;null;null;52.4;23;18.9;16.6;95.3;94;null;
1990-04-09;null;null;.3;24.8;18.2;12.6;70.8;57;null;
1990-04-10;null;null;0;25.4;18.3;12;65.5;38;null;
1990-04-11;null;null;0;25.5;17.9;12.2;74.5;52;null;
1990-04-12;null;7.8;0;26;19.3;14.6;77;57;null;
1990-04-13;null;0;.3;null;17;16;98.5;87;null;
