Nome: LAGES
Codigo Estacao: 83891
Latitude: -27.802108
Longitude: -50.335567
Altitude: 952.73
Situacao: Desativada
Data Inicial: 1990-01-01
Data Final: 2017-04-02
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1990-01-01;null;.3;7.2;23.7;19.2;17.6;92.8;91;null;
1990-01-02;null;0;25;17.8;15.1;13.8;92.8;91;null;
1990-01-03;null;6.2;20.6;21.5;17.1;12.8;76.8;62;null;
1990-01-04;null;6;0;26.6;19.9;15.8;77.5;59;null;
1990-01-05;null;6.1;0;24.4;19.1;15.9;83.3;67;null;
1990-01-06;null;5.1;.2;24.9;20.5;17;85.3;74;null;
1990-01-07;null;.7;0;24.5;20.7;19;92.3;88;null;
1990-01-08;null;5.1;6.8;27.5;21.7;18.8;70.8;50;null;
1990-01-09;null;.3;0;22.4;18.8;17.4;82;71;null;
1990-01-10;null;0;1.2;20;17;14.9;89.5;80;null;
1990-01-11;null;1.1;8.5;24.5;19.9;16;91;85;null;
1990-01-12;null;2.7;1;25.8;20.8;17.7;88;77;null;
1990-01-13;null;4.6;.1;26.2;21.4;19.4;77.5;77;null;
1990-01-14;null;3.6;24.3;25.9;20.3;17.4;87.8;71;null;
1990-01-15;null;6.4;10.6;27.3;21.1;17.5;82.5;62;null;
1990-01-16;null;0;1.8;22.5;18.7;17.5;96.3;89;null;
1990-01-17;null;9.4;19.6;27.7;21.3;15.8;76.8;60;null;
1990-01-18;null;0;6.6;23;17.1;14.3;80.3;84;null;
1990-01-19;null;.1;7.9;17.5;15;13.9;87;71;null;
1990-01-20;null;.3;2.8;22.8;18;14.2;96.3;86;null;
1990-01-21;null;0;24.6;20.1;18.4;17.3;95;91;null;
1990-01-22;null;0;14;19;17.5;16.5;94.3;90;null;
1990-01-23;null;7;12;26.5;20.1;14.5;70.8;44;null;
1990-01-24;null;4.6;0;27.3;21.6;16.1;76.8;58;null;
1990-01-25;null;0;23.1;null;19.5;17.4;93.5;80;null;
1990-01-26;null;10;5.6;28.1;21.7;17;74;48;null;
1990-01-27;null;12.1;0;26.4;21.3;16.3;79.5;64;null;
1990-01-28;null;11.5;0;27;22.4;18.9;74.5;57;null;
1990-01-29;null;11.1;0;30;23.1;19.8;71;54;null;
1990-01-30;null;7.8;0;29.6;23.8;20;70;50;null;
1990-01-31;null;7.5;0;30.9;22.6;18.3;76;49;null;
1990-02-01;null;7;14.5;27.9;21.8;17.6;79;55;null;
1990-02-02;null;10.1;0;26.1;20.5;15.9;70.5;53;null;
1990-02-03;null;10.6;0;26.3;21.3;17.7;71.3;60;null;
1990-02-04;null;11.3;0;27.4;21.8;18.3;69.8;40;null;
1990-02-05;null;11;0;26.5;20.9;17.3;71;49;null;
1990-02-06;null;12.1;0;27.2;21.3;15.6;64.5;50;null;
1990-02-07;null;8.9;0;30.1;22.3;16.8;66.3;43;null;
1990-02-08;null;11.2;0;31.3;22.1;15.7;67.5;43;null;
1990-02-09;null;5.7;0;29.7;21.9;17.9;75.3;52;null;
1990-02-10;null;3.5;9.5;26;20.8;17.8;93.3;90;null;
1990-02-11;null;1;21.8;23.7;20.9;18.8;91.5;83;null;
1990-02-12;null;.3;11.4;23;20.3;18.6;94.8;92;null;
1990-02-13;null;7.5;29.2;27.3;21.7;19.2;84.3;65;null;
1990-02-14;null;8.2;3.4;28;22;18.9;80.3;64;null;
1990-02-15;null;7.5;.2;27.9;21.3;17.3;74.8;57;null;
1990-02-16;null;11.4;.6;26.1;19.9;15;73.3;57;null;
1990-02-17;null;8.7;0;25.3;19.9;15.7;70.8;50;null;
1990-02-18;null;11.7;0;25.3;19;13.1;65.8;42;null;
1990-02-19;null;11.8;0;25.1;18.7;13;68.3;43;null;
1990-02-20;null;10.2;0;24;18.4;13.3;77.3;60;null;
1990-02-21;null;6.6;0;28.8;21.3;17;71.5;48;null;
1990-02-22;null;0;6.1;null;18.2;17.3;94.8;76;null;
1990-02-23;null;6.1;12.1;24.4;19.3;17;89.8;87;null;
1990-02-24;null;5.1;5.5;23.5;18.3;15.6;87;75;null;
1990-02-25;null;.6;3.4;21;17.1;15.1;92.8;85;null;
1990-02-26;null;7.2;18.7;22.1;16.8;14.8;79;59;null;
1990-02-27;null;6.3;0;21.3;16.3;13.1;71.3;54;null;
1990-02-28;null;7.4;0;21.1;15.9;9.7;76.8;57;null;
1990-03-01;null;11.1;0;26.3;19.3;10.6;70;42;null;
1990-03-02;null;9.7;0;28;21.6;16.7;66.8;45;null;
1990-03-03;null;6.2;0;25.1;19.3;13.7;79.5;64;null;
1990-03-04;null;9.1;5;28.1;20.8;16.9;77;55;null;
1990-03-05;null;1.7;0;26.8;20.4;17.9;93.3;84;null;
1990-03-06;null;9.1;19.3;27.1;21;17;75.5;54;null;
1990-03-07;null;5.1;0;25.1;20.3;17.7;85.5;69;null;
1990-03-08;null;null;null;null;null;null;null;91;null;
1990-03-09;null;7.1;0;25.9;21.2;18;78.8;61;null;
1990-03-10;null;3.1;0;27.5;21.7;18.3;83.8;67;null;
1990-03-11;null;7.7;1.1;29.2;22.5;18.8;81.5;54;null;
1990-03-12;null;6.4;0;29.5;22.4;16;71.5;50;null;
1990-03-13;null;5.8;0;29.9;21.9;18.1;77.5;54;null;
1990-03-14;null;7.8;9.3;30;21.3;16.7;75.3;52;null;
1990-03-15;null;8.2;18.7;28.9;21.9;17;70.3;42;null;
1990-03-16;null;.5;6.8;null;19.9;18.2;89.8;76;null;
1990-03-17;null;3.5;9.9;25.5;19.9;17;82.3;70;null;
1990-03-18;null;6.9;0;27.7;21.7;18.2;80.8;59;null;
1990-03-19;null;1.7;0;24.4;19.5;16;85.8;71;null;
1990-03-20;null;.6;0;21.9;18.6;17;87.8;79;null;
1990-03-21;null;3.7;0;26.5;18.8;16.3;84.3;60;null;
1990-03-22;null;0;12;19.3;17.5;16.8;90.8;81;null;
1990-03-23;null;0;1.6;18.1;16.6;15.8;96.3;93;null;
1990-03-24;null;2.6;16.6;22.8;18.9;16;86.3;77;null;
1990-03-25;null;9.6;.5;22.7;16.9;13.6;75.5;56;null;
1990-03-26;null;1;0;21.1;17;11.1;90.5;80;null;
1990-03-27;null;.1;31.1;19.2;15.6;14.3;89;79;null;
1990-03-28;null;.4;.4;19.2;15.5;11.8;95.3;90;null;
1990-03-29;null;3.6;0;26;18.9;15.7;87.8;71;null;
1990-03-30;null;5.1;49.9;26.3;20.7;16.3;86.5;69;null;
1990-03-31;null;0;2.2;null;17.5;16.5;93;84;null;
1990-04-01;null;2.1;.6;21.1;17.9;13.6;86.3;79;null;
1990-04-02;null;1.3;0;24.9;19.1;17;90.5;83;null;
1990-04-03;null;8.5;4;24.3;17.4;13.5;87;61;null;
1990-04-04;null;5.7;0;25.9;20;16.4;88.5;68;null;
1990-04-05;null;6;2.5;27;20.3;17;91.3;81;null;
1990-04-06;null;.4;10.9;20.2;17.5;15.4;84.8;78;null;
1990-04-07;null;0;4.3;18.2;17.2;15.8;95;82;null;
1990-04-08;null;3;67.3;22;18;16.2;92.5;86;null;
1990-04-09;null;10.5;0;26;19.7;14.2;82;60;null;
1990-04-10;null;9.4;0;25.3;19.8;17;70;51;null;
1990-04-11;null;9.7;null;24.8;17.6;10.8;77.5;53;null;
1990-04-12;null;7.7;0;22.6;18.1;15.8;83;68;null;
1990-04-13;null;.3;0;21.5;18.1;16.2;90.8;83;null;
1990-04-14;null;9.7;.3;23.5;18.1;13;81.5;64;null;
1990-04-15;null;7.9;0;26;19.5;15.5;79.5;59;null;
1990-04-16;null;4.4;0;26.2;19.7;17;85.3;63;null;
1990-04-17;null;1.3;.7;22.5;18.5;16.7;86.3;74;null;
1990-04-18;null;7;.3;null;10.4;6.5;60.5;37;null;
1990-04-19;null;0;0;15.6;12;5.5;82;69;null;
1990-04-20;null;.1;0;18;15.3;12.5;91.5;87;null;
1990-04-21;null;.5;0;21.2;17.7;15.1;93.8;83;null;
1990-04-22;null;4.5;0;23.5;19.2;16.9;91.8;80;null;
1990-04-23;null;6;0;25.3;20.3;17.6;83.8;62;null;
1990-04-24;null;4.5;0;26.8;19.6;17.2;85.5;57;null;
1990-04-25;null;7.1;9.2;26.4;20.3;15.6;82.5;59;null;
1990-04-26;null;8.7;0;26.8;21.2;17.6;83.3;53;null;
1990-04-27;null;1.3;6.2;23.1;18.6;17.1;94;88;null;
1990-04-28;null;0;35.6;17.7;16;15.1;94.8;88;null;
1990-04-29;null;0;24.1;17.3;12.8;10.6;91;85;null;
1990-04-30;null;10.7;.7;16.8;11;8.5;72.5;48;null;
1990-05-01;null;9.6;0;17.9;11.1;5.2;73;51;null;
1990-05-02;null;4.7;0;18.2;14.1;9.9;82.5;60;null;
1990-05-03;null;7.9;0;19.9;12.8;8.1;81.5;55;null;
1990-05-04;null;8.6;0;20.5;13.9;10.1;77.3;50;null;
1990-05-05;null;3;0;19;13.1;10;87.5;61;null;
1990-05-06;null;7.3;0;21.4;14.5;9.9;81;56;null;
1990-05-07;null;7.8;0;22.9;15.4;9.7;82;59;null;
1990-05-08;null;6.4;0;21.9;16.2;11.8;81;63;null;
1990-05-09;null;2.2;0;19.4;15.9;14.3;85.8;71;null;
1990-05-10;null;.2;0;19.8;14.3;12.1;92;82;null;
1990-05-11;null;10.2;9.5;20.3;13.6;10.9;70;36;null;
1990-05-12;null;6.4;0;17.8;10.2;3.9;81;61;null;
1990-05-13;null;6.3;0;19.6;12.6;9.5;82;54;null;
1990-05-14;null;1.4;0;17;12.8;10;87.3;68;null;
1990-05-15;null;3;0;17.8;13.3;10;85.8;76;null;
1990-05-16;null;6.2;0;15.9;9.8;6.1;78;48;null;
1990-05-17;null;.4;9.9;13.5;10;8.6;90;85;null;
1990-05-18;null;3.4;5.5;null;5.4;4;90.5;85;null;
1990-05-19;null;5.5;3;16;9.4;6;86;63;null;
1990-05-20;null;2.2;0;15;10.2;5.1;86;69;null;
1990-05-21;null;9.4;0;13.2;7.3;4.4;65.5;49;null;
1990-05-22;null;8.6;0;10.8;4.9;2.3;71.5;51;null;
1990-05-23;null;9.3;0;16.7;7.3;1.6;72.5;47;null;
1990-05-24;null;9.7;0;21.9;10.3;1.2;65.5;34;null;
1990-05-25;null;7.3;null;22.6;12;3.2;61.3;24;null;
1990-05-26;null;9.8;0;22.2;11.8;4;68.5;37;null;
1990-05-27;null;8.4;0;22.6;13.1;5.6;75.5;46;null;
1990-05-28;null;0;0;null;12.9;11.6;94.8;82;null;
1990-05-29;null;0;42.1;15;13.7;12.9;97.3;96;null;
1990-05-30;null;0;81.5;15.3;14.1;12.6;97;95;null;
1990-05-31;null;0;62.1;null;14.5;14.1;97.3;97;null;
1990-06-01;null;4.7;29.8;18.6;14.4;12.7;87.8;71;null;
1990-06-02;null;0;11.4;14.9;13.7;12.7;96.5;94;null;
1990-06-03;null;.1;5.5;16.8;14.6;13;95;90;null;
1990-06-04;null;4.4;.6;21.9;16.1;14;91.8;80;null;
1990-06-05;null;0;30.1;15.1;14.1;13.5;96.5;94;null;
1990-06-06;null;8;64.9;14.2;8.9;7.2;79.5;54;null;
1990-06-07;null;9.8;0;15.7;6.3;.2;73.3;33;null;
1990-06-08;null;9.1;0;20;10.1;.2;80.5;51;null;
1990-06-09;null;.7;10.5;16.6;13.7;12.7;92.5;78;null;
1990-06-10;null;7.2;0;null;6;3.3;68.8;51;null;
1990-06-11;null;8.9;0;12.2;5.6;.2;76.8;44;null;
1990-06-12;null;.1;0;11.9;9.8;7.2;88;71;null;
1990-06-13;null;0;0;13.4;11.9;10.6;93.5;80;null;
1990-06-14;null;.6;11.8;16.9;13.1;11.9;89;80;null;
1990-06-15;null;6.9;4.1;null;7.6;6;78.3;51;null;
1990-06-16;null;10;0;13.5;5.4;.2;66.5;33;null;
1990-06-17;null;9.4;0;17.2;7.7;.4;64.8;37;null;
1990-06-18;null;9.2;0;17.1;8.8;3;69.5;36;null;
1990-06-19;null;7.8;0;20.5;10.6;4.6;77.8;48;null;
1990-06-20;null;0;0;null;8.1;5.4;88;74;null;
1990-06-21;null;0;35.8;7.2;4.7;2.9;92.5;89;null;
1990-06-22;null;4;0;12;7;4.2;87.8;72;null;
1990-06-23;null;9.5;0;19.5;8.4;.7;68.3;30;null;
1990-06-24;null;8.2;0;22.3;13.2;3.9;75.3;59;null;
1990-06-25;null;0;3.4;null;11.6;9.7;96.5;81;null;
1990-06-26;null;9.1;3.3;15.3;7;3.2;73.5;36;null;
1990-06-27;null;8.6;0;18.2;9.4;2.8;81.3;50;null;
1990-06-28;null;5.1;0;18.4;11.2;6.3;88.8;69;null;
1990-06-29;null;1.4;0;16.6;11.5;7.9;84;68;null;
1990-06-30;null;1.4;0;18.5;13.3;9.4;77.3;60;null;
1990-07-01;null;5.7;0;19.4;12.6;10;84.8;63;null;
1990-07-02;null;1.5;0;16.2;11.7;10;90.8;76;null;
1990-07-03;null;0;.2;14.4;11.3;8;95.5;89;null;
1990-07-04;null;0;7.7;14.5;12.3;10.1;95.3;94;null;
1990-07-05;null;.7;4.5;14.4;12.3;10.1;92.3;86;null;
1990-07-06;null;3.5;5.7;16.7;13.5;11.8;87.8;75;null;
1990-07-07;null;2.3;0;15.7;12.2;11.1;91.5;75;null;
1990-07-08;null;4.9;.4;16.9;12.5;10;87;70;null;
1990-07-09;null;.8;0;15;10.9;6.7;94;88;null;
