Nome: FLORIANOPOLIS
Codigo Estacao: 83897
Latitude: -27.6025
Longitude: -48.62027777
Altitude: 4.64
Situacao: Fechada
Data Inicial: 1990-01-01
Data Final: 2020-03-01
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1990-01-01;null;null;21.6;25.8;23.4;22.2;93.3;89;null;
1990-01-02;null;0;40.1;null;21.1;18.3;88.5;92;null;
1990-01-03;null;0;7.6;25.2;21;18.2;86.8;72;null;
1990-01-04;null;7.4;5.2;27.7;23.7;18.8;76;68;null;
1990-01-05;null;7.7;1;27.5;23.7;20.4;81.8;73;null;
1990-01-06;null;0;12.1;24.8;23;20.9;93.8;86;null;
1990-01-07;null;.1;22.8;26.2;24.3;22.8;93.3;89;null;
1990-01-08;null;5.7;7.9;28.5;25.2;22.9;83.5;81;null;
1990-01-09;null;.2;.4;24.8;23.1;22.3;87;81;null;
1990-01-10;null;0;4.1;null;21.2;19.9;95;91;null;
1990-01-11;null;0;20.2;24.6;22.6;20.2;88.5;90;null;
1990-01-12;null;9.6;4.1;28;24.4;20.9;89;83;null;
1990-01-13;null;6.7;1.9;32.6;26.8;22.8;80.3;61;null;
1990-01-14;null;3;7.1;30;24.7;22.5;83.8;75;null;
1990-01-15;null;9.5;23.4;28.2;24.6;20.6;87.3;81;null;
1990-01-16;null;5.3;0;28.6;23.9;21.6;86;70;null;
1990-01-17;null;7.3;13;29.8;24.7;21.4;86;74;null;
1990-01-18;null;5.2;17;26.9;21.3;18.1;89;87;null;
1990-01-19;null;0;19.2;20.8;18.6;16.4;91;84;null;
1990-01-20;null;1;7;26.3;21.9;17.4;88;75;null;
1990-01-21;null;.8;4.4;23.6;22.1;21;94;89;null;
1990-01-22;null;2.3;8.1;27.1;25.9;20.3;null;83;null;
