Nome: JOACABA
Codigo Estacao: 83904
Latitude: -27.169273
Longitude: -51.558963
Altitude: 767.63
Situacao: Desativada
Data Inicial: 1990-01-01
Data Final: 2007-06-13
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1990-01-01;null;null;6.2;25.9;21.7;20.6;96.3;93;null;
1990-01-02;null;null;35.2;22.9;18.7;17;93.5;90;null;
1990-01-03;null;null;14;24.7;19.7;17;81.3;73;null;
1990-01-04;null;null;0;30.2;23.8;19.2;69;58;null;
1990-01-05;null;null;0;28.2;22.7;19.6;67;58;null;
1990-01-06;null;null;0;29.4;24;22.4;73.5;62;null;
1990-01-07;null;null;0;25.5;21.9;20.2;95;78;null;
1990-01-08;null;null;41.2;28.8;23.4;21.2;85.8;73;null;
1990-01-09;null;null;14.6;null;20.1;18.8;81.5;74;null;
1990-01-10;null;null;1.4;22.7;19.7;18.2;86.8;86;null;
1990-01-11;null;null;0;28;23.3;19.8;78.5;68;null;
1990-01-12;null;null;0;29.4;23.9;22.4;79.8;68;null;
1990-01-13;null;null;0;28.6;22.2;19.6;90.5;75;null;
1990-01-14;null;null;43.6;27.6;22.6;19.6;91;90;null;
1990-01-15;null;null;2.5;30.9;22;19.4;86.5;62;null;
1990-01-16;null;null;26.7;23.7;21.7;19.4;83;87;null;
1990-01-17;null;null;9.8;31.7;26;22.2;62.5;46;null;
1990-01-18;null;null;12.7;null;18.9;16.2;95;64;null;
1990-01-19;null;null;7;23.1;17.8;14.2;95.5;88;null;
1990-01-20;null;null;23.8;28.4;21.6;18.8;84.8;62;null;
1990-01-21;null;null;6.8;22.3;19.9;19.2;96.3;91;null;
1990-01-22;null;null;29.9;20.3;18.6;17.2;98;98;null;
1990-01-23;null;null;47;28.6;22.7;18.6;85;74;null;
1990-01-24;null;null;0;30.5;25.6;23.8;75.8;58;null;
1990-01-25;null;null;22;null;21.8;19.4;89.8;84;null;
1990-01-26;null;null;3.7;31.7;24.7;20.2;78.3;65;null;
1990-01-27;null;null;0;33.1;26.5;23.8;67.5;55;null;
1990-01-28;null;null;0;31.3;26.3;24.6;63.8;56;null;
1990-01-29;null;null;0;32.1;24.6;21.8;71.8;59;null;
1990-01-30;null;null;0;31.7;25.3;23.4;74;60;null;
1990-01-31;null;null;2.2;31.9;22.7;19.8;83;62;null;
1990-02-01;null;null;6;32.3;23.9;19.8;68.5;54;null;
1990-02-02;null;null;0;31.9;24.5;20.6;62.3;47;null;
1990-02-03;null;null;0;32.1;25.2;21.6;62.3;48;null;
1990-02-04;null;null;0;32.7;25.3;22.6;63;54;null;
1990-02-05;null;null;0;31.7;26;23.8;57;47;null;
1990-02-06;null;null;0;31.5;24.4;21.8;62.8;48;null;
1990-02-07;null;null;0;32.3;25.7;23;67;57;null;
