Nome: CRUZ ALTA
Codigo Estacao: 83912
Latitude: -28.6261111
Longitude: -53.61388888
Altitude: 475.52
Situacao: Operante
Data Inicial: 1990-01-01
Data Final: 2025-02-16
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1990-01-01;null;7.2;29;26.6;20.5;11;84.8;78;null;
1990-01-02;null;4.9;0;23.4;19.4;17.1;91;86;null;
1990-01-03;null;8.4;0;27;21.4;15.2;82.8;77;null;
1990-01-04;null;11;0;30.2;23.8;18.2;81;72;null;
1990-01-05;null;12.4;0;31;25.3;19.4;76.5;64;null;
1990-01-06;null;12.4;0;31.4;25.1;19.5;76.3;62;null;
1990-01-07;null;12.6;0;31.8;25.8;20.4;77.8;69;null;
1990-01-08;null;9.4;0;30.4;23.9;20.4;80.5;73;null;
1990-01-09;null;9.8;0;27.2;22.1;18.4;77.8;75;null;
1990-01-10;null;0;0;21.6;19.1;17;94.8;78;null;
1990-01-11;null;7.6;6.6;27.8;22.9;18.2;87.3;77;null;
1990-01-12;null;10.3;0;30.2;24.5;20.2;82.8;75;null;
1990-01-13;null;8.4;0;31.2;22;11.2;87.3;69;null;
1990-01-14;null;5;11.7;29.4;23.8;20.2;88;82;null;
1990-01-15;null;7.7;0;30.4;24.5;20;77;63;null;
1990-01-16;null;2.5;4.7;26.4;22.2;20;94.5;78;null;
1990-01-17;null;6.5;2;29;22.1;19.2;90.8;80;null;
1990-01-18;null;2.8;16.7;19.4;15.2;13;87.3;85;null;
1990-01-19;null;8.7;0;25;18.4;12;87.5;74;null;
1990-01-20;null;2.7;1.4;21.4;19.3;18;97;96;null;
1990-01-21;null;2.4;9.4;24.4;20.5;17;92;84;null;
1990-01-22;null;6.5;1;29;22.9;19;91;79;null;
1990-01-23;null;3.9;1.2;26.6;22.9;18.6;86;82;null;
1990-01-24;null;0;14.2;26.2;20.8;19;96.5;84;null;
1990-01-25;null;7;54.4;29.2;24;20;90;80;null;
1990-01-26;null;11.5;0;30.6;25.2;20.2;82.5;73;null;
1990-01-27;null;10.2;0;32.8;26.3;20;84.3;74;null;
1990-01-28;null;9.3;.5;31;27.1;22;84.3;75;null;
1990-01-29;null;11.8;0;32;27.4;23.4;81.5;61;null;
1990-01-30;null;11.6;0;32.2;27.7;24.2;76.5;64;null;
1990-01-31;null;11.4;0;32;26.2;21;79.5;67;null;
1990-02-01;null;6.6;21;31.8;22.7;20;82.3;43;null;
1990-02-02;null;11.9;12.5;30.4;25.4;19.8;89.3;84;null;
1990-02-03;null;11.7;0;31.2;25.9;21.6;82.5;69;null;
1990-02-04;null;10.9;0;31.8;26.2;21;78.3;67;null;
