Nome: PASSO FUNDO
Codigo Estacao: 83914
Latitude: -28.2286111
Longitude: -52.41194444
Altitude: 684.05
Situacao: Operante
Data Inicial: 1990-01-01
Data Final: 2025-02-16
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1990-01-01;null;1.5;5.3;23.6;20.1;18.4;92;91;null;
1990-01-02;null;.6;10.7;null;18.1;17.4;85.3;90;null;
1990-01-03;null;5.1;5.8;25.8;20;13.9;72.8;66;null;
1990-01-04;null;11.1;0;28.8;22.2;16.4;71.8;53;null;
1990-01-05;null;12.1;0;28.8;23.6;18.3;61.8;49;null;
1990-01-06;null;9.4;0;30.1;23.6;17.9;67.5;53;null;
1990-01-07;null;10.1;0;29.9;23.9;19.4;72.3;65;null;
1990-01-08;null;8.6;1;28.6;22.8;18.6;73;54;null;
1990-01-09;null;9.5;0;26.5;21.2;17.5;78;63;null;
1990-01-10;null;0;.2;null;18.5;17.4;88;81;null;
1990-01-11;null;2.2;15.2;26;21;17.2;85.8;79;null;
1990-01-12;null;10.1;1.1;29.4;23;18.9;76;63;null;
1990-01-13;null;9.7;0;29.5;23.7;19.1;78.5;63;null;
1990-01-14;null;5.1;31.2;26.7;22.2;18.5;83.8;77;null;
1990-01-15;null;5.7;.4;28.3;23.5;19.2;67.8;52;null;
1990-01-16;null;.1;1.6;23.3;20.4;19.7;93.5;71;null;
1990-01-17;null;8.3;11.9;28.6;21.5;18.1;80.8;62;null;
1990-01-18;null;.2;14.2;null;15.2;13.4;79;72;null;
1990-01-19;null;3.7;.8;22.4;17.9;12.5;83.8;66;null;
1990-01-20;null;1.2;.8;22.9;19.9;17.3;88.8;82;null;
1990-01-21;null;.9;10.6;25;20.6;18;88.3;75;null;
1990-01-22;null;2.8;25.6;23.8;20.1;18.4;92.8;85;null;
1990-01-23;null;1.5;13.5;25.6;21.1;16.6;83.5;73;null;
1990-01-24;null;2.3;10.8;26.6;20.2;18.4;90.3;71;null;
1990-01-25;null;2.4;26.8;26.4;21.9;18.8;90.3;88;null;
1990-01-26;null;10;13;29.6;23.8;18.6;72.5;54;null;
1990-01-27;null;11.4;0;32.3;25.8;19.9;69.3;57;null;
1990-01-28;null;12.1;0;30.7;25.2;20.3;73.3;60;null;
1990-01-29;null;11.7;0;30.3;24.9;20.7;67.5;54;null;
1990-01-30;null;12.2;0;31.2;26.3;20.7;66.8;54;null;
1990-01-31;null;9.1;0;32.2;22.8;19.4;79.3;53;null;
1990-02-01;null;2.5;18.4;29.6;22.4;19.2;76.8;69;null;
1990-02-02;null;12;0;30.5;23.4;18;63.5;55;null;
1990-02-03;null;11.5;0;30.8;24.5;18.9;67.5;53;null;
1990-02-04;null;12.7;0;30.2;24.5;19.3;65.8;56;null;
1990-02-05;null;12.4;null;30.6;23.9;18.5;67;53;null;
1990-02-06;null;12.1;0;30.8;24.3;17.9;63.8;50;null;
1990-02-07;null;11.4;0;32;24.4;18.2;61.8;40;null;
1990-02-08;null;10.9;0;32.2;24.6;18.7;64.5;40;null;
1990-02-09;null;9.4;0;31.1;23.8;19.7;72.3;53;null;
1990-02-10;null;4.8;.8;29.2;22.8;19.4;81.3;58;null;
1990-02-11;null;2.1;25.7;27.5;21.6;19.2;88.5;70;null;
1990-02-12;null;1.8;4.7;26.2;22;19.8;88.3;76;null;
1990-02-13;null;6.7;4.2;27.8;23.2;19.4;78.8;60;null;
1990-02-14;null;5.9;.1;27.6;23;20;83.5;74;null;
1990-02-15;null;7.3;3.5;27.2;21.9;18;81;62;null;
1990-02-16;null;9.1;0;24.8;20.6;18.6;80;64;null;
1990-02-17;null;6.9;0;25.4;20;15.4;74.8;57;null;
1990-02-18;null;11.9;0;25.6;20.6;15;69.8;55;null;
1990-02-19;null;11.7;.2;25.6;20.2;15.5;66.5;47;null;
1990-02-20;null;10.8;0;28.4;22.2;16.3;69;58;null;
1990-02-21;null;8.3;0;29.6;23.3;19.2;73.5;52;null;
1990-02-22;null;.5;24.5;23.2;20.1;18.3;92.8;80;null;
1990-02-23;null;3;5.5;23.8;19.5;16.9;90.8;86;null;
1990-02-24;null;2.7;12.1;23;18.6;16.6;91.3;85;null;
