Nome: SAO JOAQUIM
Codigo Estacao: 83920
Latitude: -28.27555554
Longitude: -49.93472221
Altitude: 1400.07
Situacao: Desativada
Data Inicial: 1990-01-01
Data Final: 2017-05-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1990-01-01;null;null;null;null;null;null;null;100;null;
1990-01-02;null;null;null;null;null;null;null;null;null;
1990-01-03;null;null;null;null;null;null;null;null;null;
1990-01-04;null;null;null;null;null;null;null;null;null;
1990-01-05;null;null;null;null;null;null;null;null;null;
1990-01-06;null;null;null;null;null;null;null;null;null;
1990-01-07;null;null;null;null;null;null;null;null;null;
1990-01-08;null;null;null;null;null;null;null;null;null;
1990-01-09;null;null;null;null;null;null;null;null;null;
1990-01-10;null;null;null;null;null;null;null;null;null;
1990-01-11;null;null;null;null;null;null;null;null;null;
1990-01-12;null;null;null;null;null;null;null;null;null;
1990-01-13;null;null;null;null;null;null;null;null;null;
1990-01-14;null;null;null;null;null;null;null;null;null;
1990-01-15;null;null;null;null;null;null;null;null;null;
1990-01-16;null;null;null;null;null;null;null;null;null;
1990-01-17;null;null;null;null;null;null;null;null;null;
1990-01-18;null;null;null;null;null;null;null;null;null;
1990-01-19;null;null;null;null;null;null;null;null;null;
1990-01-20;null;null;null;null;null;null;null;null;null;
1990-01-21;null;null;null;null;null;null;null;null;null;
1990-01-22;null;null;null;null;null;null;null;null;null;
1990-01-23;null;null;null;null;null;null;null;null;null;
1990-01-24;null;null;null;null;null;null;null;null;null;
1990-01-25;null;null;null;null;null;null;null;null;null;
1990-01-26;null;null;null;null;null;null;null;null;null;
1990-01-27;null;null;null;null;null;null;null;null;null;
1990-01-28;null;null;null;null;null;null;null;null;null;
1990-01-29;null;null;null;null;null;null;null;null;null;
1990-01-30;null;null;null;null;null;null;null;null;null;
1990-01-31;null;null;null;null;null;null;null;null;null;
1990-02-01;null;4.5;3.1;26;20.5;16;63.5;41;null;
1990-02-02;null;8.4;1.2;24;18.3;14;58.5;39;null;
1990-02-03;null;11.5;0;26.2;19.5;13.8;65;40;null;
1990-02-04;null;10.7;0;25;19.2;14;64.3;43;null;
1990-02-05;null;10.5;0;25;18.5;13.8;69;38;null;
1990-02-06;null;9.9;0;25;18.9;13;64;47;null;
1990-02-07;null;9.4;4.5;25.3;18.7;14.5;68.5;39;null;
1990-02-08;null;8.2;0;26.5;19.9;16;70;43;null;
1990-02-09;null;1;0;24.5;18.9;16.2;78.5;60;null;
1990-02-10;null;1.7;7.5;23;17.6;14.5;89.8;76;null;
1990-02-11;null;.7;27.5;21.5;17.5;15;93;83;null;
1990-02-12;null;0;36;20.6;17.9;16;91;83;null;
1990-02-13;null;2.7;10.5;23;18;15.5;91;72;null;
1990-02-14;null;2.7;6;22.5;17.4;15.5;92.8;77;null;
1990-02-15;null;7.7;0;23.2;16.6;13;85.5;63;null;
1990-02-16;null;7.5;18.5;21;15.8;12.8;90.8;69;null;
1990-02-17;null;6;0;19.9;14.5;12.2;94.3;80;null;
1990-02-18;null;10.1;.5;20;15;10;83.3;51;null;
1990-02-19;null;8.4;0;19.8;13.8;10;84.3;61;null;
1990-02-20;null;5.8;0;20.4;15.6;11;85.8;65;null;
1990-02-21;null;5.6;0;24.2;17.2;14;87.5;55;null;
