Nome: URUGUAIANA
Codigo Estacao: 83927
Latitude: -29.83999999
Longitude: -57.08194443
Altitude: 74.41
Situacao: Fechada
Data Inicial: 1990-01-01
Data Final: 2019-03-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1990-01-01;null;10.5;0;32.1;25.7;19.5;63.8;54;null;
1990-01-02;null;12.7;0;32;24.4;18.8;65;51;null;
1990-01-03;null;12.9;0;31.2;24.3;16.5;62.5;47;null;
1990-01-04;null;12.9;0;33.5;26.7;17.3;57.3;42;null;
1990-01-05;null;0;0;34.7;28.1;18.8;55.8;42;null;
1990-01-06;null;13;0;35;29.6;21.8;60.5;49;null;
1990-01-07;null;12.8;0;37;30.3;20.4;54;44;null;
1990-01-08;null;8.1;0;37;28;23;71.8;53;null;
1990-01-09;null;3.5;1.6;34;25.7;20;65.5;57;null;
1990-01-10;null;7.6;0;29.2;24.4;19.1;69.8;59;null;
1990-01-11;null;10.1;0;31;25.8;19;65;52;null;
1990-01-12;null;12.9;0;34.5;28.2;19.6;54.3;41;null;
1990-01-13;null;3.3;0;35;27.4;22;76;61;null;
1990-01-14;null;12.3;.2;35.1;28.6;20;55.5;42;null;
1990-01-15;null;1.6;0;35;27.6;21;64;46;null;
1990-01-16;null;9.4;0;34.2;26.4;18.8;67.3;49;null;
1990-01-17;null;.8;46;32.6;22.4;19;85.5;72;null;
1990-01-18;null;12.9;7.8;23.6;17.8;11.2;66;55;null;
1990-01-19;null;11.1;0;27.4;21.9;11.8;54.3;44;null;
1990-01-20;null;10.4;2;29;23.3;17.2;76;54;null;
1990-01-21;null;11;0;30.6;24.4;17.4;73.5;53;null;
1990-01-22;null;12.1;0;31.8;26.2;20.2;68.8;54;null;
1990-01-23;null;.4;0;30.2;23.5;19.6;96.5;65;null;
1990-01-24;null;2.6;33;28;23.9;19.4;97;96;null;
1990-01-25;null;12;43.2;31.5;26.1;20.4;86;70;null;
1990-01-26;null;11.8;0;33.5;28.7;22.2;76.5;65;null;
1990-01-27;null;11.5;0;36;29.8;24;75.5;63;null;
1990-01-28;null;10.5;0;36.1;30.4;24.8;73;41;null;
1990-01-29;null;11.6;0;36.3;30.5;25;78.3;62;null;
1990-01-30;null;11.4;0;35.7;30.3;24.6;71.5;63;null;
1990-01-31;null;11.1;0;36.1;27.9;23;76.5;59;null;
1990-02-01;null;9;1.9;33.4;27.4;22.6;82.3;85;null;
1990-02-02;null;11;3;34.3;28.2;21.8;73.8;56;null;
1990-02-03;null;6.7;0;34.3;26.2;21.9;85.5;77;null;
1990-02-04;null;8.6;45.1;33.1;25.7;21.2;86.3;67;null;
1990-02-05;null;11;33.2;33.5;27.3;22.2;78.3;59;null;
1990-02-06;null;6.6;0;35.2;27.2;22.6;83.5;68;null;
1990-02-07;null;5.7;10.2;28.2;24.9;21.2;87.8;82;null;
1990-02-08;null;0;8.4;32.4;24.8;20.6;96;90;null;
1990-02-09;null;1;14.5;26.4;24.6;23;89.3;87;null;
1990-02-10;null;2.7;2.8;26.5;23.7;18.4;94.5;87;null;
1990-02-11;null;4.2;22.1;27.7;24.6;19.9;93;91;null;
1990-02-12;null;0;7.3;29;24.4;22.6;94.8;83;null;
1990-02-13;null;3.9;19;27.2;23.1;20.5;90;82;null;
1990-02-14;null;5.5;0;27.4;23.8;21.8;86.3;77;null;
1990-02-15;null;7.1;0;28.2;23;20;88;77;null;
1990-02-16;null;11.9;.8;27.4;23.4;19;78;64;null;
1990-02-17;null;12.1;0;28.2;23.9;15.2;70;58;null;
1990-02-18;null;11.8;0;29.8;23.8;16.2;76;60;null;
1990-02-19;null;12;0;30.4;23.2;18.2;69.5;55;null;
1990-02-20;null;7.6;0;31.6;25.4;18.2;67.8;54;null;
1990-02-21;null;2.1;0;31.4;25.9;22;79.5;71;null;
1990-02-22;null;6.5;0;31.4;24.6;21;81.3;71;null;
1990-02-23;null;7.6;.2;31.5;24.5;19.8;80.3;62;null;
1990-02-24;null;6.3;2;29.2;22.7;16.4;75.5;68;null;
1990-02-25;null;8.7;.4;28.2;21.5;16.5;83.5;71;null;
1990-02-26;null;8.4;0;25.6;18.8;14;81.8;59;null;
1990-02-27;null;3.9;.9;24;18.5;11.4;94.5;88;null;
1990-02-28;null;7.6;10;26.8;23.1;20.4;81;70;null;
1990-03-01;null;11.2;0;30.8;24.8;18.3;72;56;null;
1990-03-02;null;10.3;0;31.4;24.9;19.2;65.5;46;null;
1990-03-03;null;11;0;31.5;24.3;18;71.3;59;null;
1990-03-04;null;2.3;0;29.7;23.4;19;82.5;74;null;
1990-03-05;null;0;31;29.3;22.1;20.2;98.5;84;null;
1990-03-06;null;2.6;24.4;26.8;22;17.6;88;72;null;
1990-03-07;null;9.3;0;30.4;24.8;19;81.8;63;null;
1990-03-08;null;0;39;30.7;23.7;21.3;90;80;null;
1990-03-09;null;6.3;1.2;34.1;27.4;20.4;76.3;64;null;
1990-03-10;null;0;0;34.4;25.7;23;87.8;79;null;
1990-03-11;null;1.5;9;27.2;24.3;21.2;92.5;82;null;
1990-03-12;null;8.1;0;35.4;28.4;23.8;79.8;59;null;
1990-03-13;null;5.2;.4;37.1;27;22.2;83.3;69;null;
1990-03-14;null;6.9;0;29.3;24.1;22.2;84;75;null;
1990-03-15;null;0;9.2;22.9;20.8;20;96.8;84;null;
1990-03-16;null;9.9;12.4;26.9;22.5;18.2;87;74;null;
1990-03-17;null;2.2;2.8;27.4;22.2;19;90.5;83;null;
1990-03-18;null;6.1;1.9;25.4;22;19.5;87.3;75;null;
1990-03-19;null;10.6;0;27.8;23;18.2;81;69;null;
1990-03-20;null;7.6;0;29.4;24.1;19;83.8;72;null;
1990-03-21;null;10.7;0;30.5;24.5;20.6;75.5;59;null;
1990-03-22;null;10.7;0;30.4;24.5;19.2;78.8;65;null;
1990-03-23;null;6.8;0;30.4;23.6;21;85;68;null;
1990-03-24;null;7.2;6.1;30.2;21.9;18.1;80;68;null;
1990-03-25;null;10.7;0;25.4;19.5;14.6;72.8;52;null;
1990-03-26;null;2.3;0;26.2;18.4;14;83;72;null;
1990-03-27;null;10.5;1;22.2;14.2;7.8;67.3;46;null;
1990-03-28;null;10.2;0;23.6;16.3;9.2;73.5;49;null;
1990-03-29;null;2.2;0;26;21.8;16.2;88.3;75;null;
1990-03-30;null;4.9;5;26.3;23.3;21.8;90.8;88;null;
1990-03-31;null;9;1.3;31;20.8;16.4;77.3;62;null;
1990-04-01;null;10.2;0;28.6;22.4;15.2;76.5;59;null;
1990-04-02;null;6.5;37;28.8;23.6;20.2;84;78;null;
1990-04-03;null;8.9;0;29;22;16.4;87;75;null;
1990-04-04;null;0;16.2;27;21.2;19.5;99;93;null;
1990-04-05;null;2.5;25.2;25;21;18.6;94.3;85;null;
1990-04-06;null;.8;21.3;24.6;21.8;20.6;95.5;90;null;
1990-04-07;null;2.8;3.4;23.6;20.3;18;93.3;78;null;
1990-04-08;null;9.1;11.5;27.2;21.7;18.6;87.3;70;null;
1990-04-09;null;10.5;0;27.6;21.3;16.4;84.3;63;null;
1990-04-10;null;10.3;0;28.2;21.8;15.6;79.3;57;null;
1990-04-11;null;0;0;23.5;20;19;88.3;79;null;
1990-04-12;null;8.3;0;27.8;22.8;17.5;79.8;69;null;
1990-04-13;null;6.1;1;26.8;22.3;19.7;88.5;77;null;
1990-04-14;null;10.1;0;27.8;22.8;19;88.5;83;null;
1990-04-15;null;3.1;0;23.8;20.7;18.9;88;75;null;
1990-04-16;null;2.9;46.2;25.2;20.9;18;86.8;70;null;
1990-04-17;null;1.6;.8;null;14;11.4;77.3;72;null;
1990-04-18;null;10.5;0;17.8;12.4;8.8;73;51;null;
1990-04-19;null;8.9;0;21.2;15;8.6;75.3;55;null;
1990-04-20;null;2.7;0;25.8;22.2;16.2;77.3;67;null;
1990-04-21;null;8.5;0;27.3;22.4;16.4;85.3;72;null;
1990-04-22;null;1;0;29.1;22.8;19.9;83;71;null;
1990-04-23;null;.6;49.4;23.2;20.7;18.6;89.5;83;null;
1990-04-24;null;0;75.4;null;20.1;19.2;97.3;90;null;
1990-04-25;null;4.2;.8;26.2;22;18.4;86.5;70;null;
1990-04-26;null;0;2.4;null;20.2;19;95.5;89;null;
1990-04-27;null;2;26.2;21.6;18;16;83.3;75;null;
1990-04-28;null;1.1;0;21.6;17.3;13.7;80.5;84;null;
1990-04-29;null;10;0;22.5;15.8;11.4;72.5;53;null;
1990-04-30;null;9.8;0;23.2;15.9;9.6;66;49;null;
1990-05-01;null;9.6;0;22.2;15.2;9.4;72.5;51;null;
1990-05-02;null;9.6;0;24;15.3;9.2;72;44;null;
1990-05-03;null;9.8;0;24;16.6;10.8;73.8;50;null;
1990-05-04;null;9.6;0;26.6;18.9;12.4;74;52;null;
1990-05-05;null;8;0;26.6;20.7;14.5;76;57;null;
1990-05-06;null;6.8;0;26.4;20.6;17.2;80.3;70;null;
1990-05-07;null;7;0;27.2;20.6;15.8;80.5;65;null;
1990-05-08;null;10.4;0;24.8;18;13.2;75;52;null;
1990-05-09;null;9.4;0;28.8;21.3;15.4;84.8;63;null;
1990-05-10;null;5.5;0;22.6;18.2;16.8;88;74;null;
1990-05-11;null;8.2;2.6;22.4;15.7;12.8;72.8;45;null;
1990-05-12;null;8.1;0;20.4;14.3;9.4;76.8;61;null;
1990-05-13;null;7.7;0;22.6;16;9.8;68.8;46;null;
1990-05-14;null;6.3;0;24.8;17.7;13;77.8;60;null;
1990-05-15;null;9.4;9.2;18.2;12.8;8.3;82.8;62;null;
