Nome: IBIRUBA
Codigo Estacao: 83932
Latitude: -28.653476
Longitude: -53.111882
Altitude: 455.28
Situacao: Desativada
Data Inicial: 1990-01-01
Data Final: 2012-02-12
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1990-01-01;null;null;0;26;21.2;16;83;78;null;
1990-01-02;null;null;8.7;22.4;18.2;14;87;81;null;
1990-01-03;null;null;1.4;27.1;18.9;11;79;67;null;
1990-01-04;null;null;0;30.8;23.5;15;77.3;69;null;
1990-01-05;null;null;0;31.5;24.3;15.5;66.5;48;null;
1990-01-06;null;null;0;32;24.7;16;70;59;null;
1990-01-07;null;null;0;33.3;24.8;17;76.3;47;null;
1990-01-08;null;null;0;29.8;23.4;17.5;78;67;null;
1990-01-09;null;null;2.1;27.1;21.1;15;78.5;72;null;
1990-01-10;null;null;0;20.7;18.8;14.5;90.5;82;null;
1990-01-11;null;null;13.3;28.5;22.2;15;83.8;73;null;
1990-01-12;null;null;0;31.5;23.6;15.1;81.3;67;null;
1990-01-13;null;null;1.5;32.8;24.1;16.9;85.8;72;null;
1990-01-14;null;null;21.1;29.5;22.6;16.8;86.5;77;null;
1990-01-15;null;null;2.6;30.9;23.9;15.6;67.5;49;null;
1990-01-16;null;null;9.1;25.2;19.7;9;91;71;null;
1990-01-17;null;null;6.1;30;22.2;15.9;84.5;70;null;
1990-01-18;null;null;15.1;null;14.8;10.7;89.8;85;null;
1990-01-19;null;null;.5;25.8;17.9;8;83.5;69;null;
1990-01-20;null;null;3.1;22.5;19.3;15;96;92;null;
1990-01-21;null;null;16.5;26.1;20.6;14.1;90.5;79;null;
1990-01-22;null;null;1.1;28.5;22.4;16.5;89.8;76;null;
1990-01-23;null;null;0;28.1;23.2;16;83.3;76;null;
1990-01-24;null;null;15.4;27;20.8;16;92;82;null;
1990-01-25;null;null;53.5;29.7;23.6;16.5;90.3;94;null;
1990-01-26;null;null;0;31.2;24.1;16.5;78.5;74;null;
1990-01-27;null;null;0;33.6;26.4;16.3;82;71;null;
1990-01-28;null;null;0;32.7;26.7;18.1;77.5;65;null;
1990-01-29;null;null;0;32.1;26.4;18;78;64;null;
1990-01-30;null;null;0;32.5;27.2;19;76.3;72;null;
1990-01-31;null;null;0;33;24.3;16.5;79;69;null;
1990-02-01;null;null;null;null;null;null;null;84;null;
1990-02-02;null;null;null;null;null;null;null;null;null;
1990-02-03;null;null;null;null;null;null;null;null;null;
1990-02-04;null;null;null;null;null;null;null;null;null;
1990-02-05;null;null;null;null;null;null;null;null;null;
1990-02-06;null;null;null;null;null;null;null;null;null;
1990-02-07;null;null;null;null;null;null;null;null;null;
1990-02-08;null;null;null;null;null;null;null;null;null;
1990-02-09;null;null;null;null;null;null;null;null;null;
1990-02-10;null;null;null;null;null;null;null;null;null;
1990-02-11;null;null;null;null;null;null;null;null;null;
1990-02-12;null;null;null;null;null;null;null;null;null;
1990-02-13;null;null;null;null;null;null;null;null;null;
1990-02-14;null;null;null;null;null;null;null;null;null;
1990-02-15;null;null;null;null;null;null;null;null;null;
1990-02-16;null;null;null;null;null;null;null;null;null;
1990-02-17;null;null;null;null;null;null;null;null;null;
1990-02-18;null;null;null;null;null;null;null;null;null;
1990-02-19;null;null;null;null;null;null;null;null;null;
1990-02-20;null;null;null;null;null;null;null;null;null;
1990-02-21;null;null;null;null;null;null;null;null;null;
1990-02-22;null;null;null;null;null;null;null;null;null;
1990-02-23;null;null;null;null;null;null;null;null;null;
1990-02-24;null;null;null;null;null;null;null;null;null;
1990-02-25;null;null;null;null;null;null;null;null;null;
1990-02-26;null;null;null;null;null;null;null;null;null;
1990-02-27;null;null;null;null;null;null;null;null;null;
1990-02-28;null;null;null;null;null;null;null;null;null;
1990-03-01;null;null;0;28;21.5;11.5;76.5;65;null;
1990-03-02;null;null;0;30;23.1;13;66.3;52;null;
1990-03-03;null;null;0;27.5;20.3;15;84;70;null;
1990-03-04;null;null;0;30.5;21.5;13.5;89.5;87;null;
1990-03-05;null;null;88.5;20.5;19;16;97;91;null;
1990-03-06;null;null;25;23.2;19.5;14;91.5;88;null;
1990-03-07;null;null;0;29.7;21.9;13.2;80.3;70;null;
1990-03-08;null;null;0;29;21.9;16;87.3;74;null;
1990-03-09;null;null;22.7;30.5;23.5;15;82.3;67;null;
1990-03-10;null;null;0;30.5;24.1;17.5;82.3;76;null;
1990-03-11;null;null;0;31.4;25.3;18;86;72;null;
1990-03-12;null;null;0;31.6;23.5;17.1;79.8;78;null;
1990-03-13;null;null;0;32.5;23.5;15.5;83.5;59;null;
1990-03-14;null;null;0;26.1;20.8;16.3;86.3;81;null;
1990-03-15;null;null;12.2;25.6;20.3;14;85.8;83;null;
1990-03-16;null;null;5.5;25.7;20.9;14;87.5;80;null;
1990-03-17;null;null;0;28;21.4;14.5;84.8;75;null;
1990-03-18;null;null;.4;26.6;21.3;15.5;83.5;73;null;
1990-03-19;null;null;0;29.5;20.8;13.5;85.3;79;null;
1990-03-20;null;null;0;31;21.9;14.7;85.8;67;null;
1990-03-21;null;null;38.4;29.3;22.4;15;81.8;68;null;
1990-03-22;null;null;1.1;27.5;20.6;14.6;82.8;64;null;
1990-03-23;null;null;0;26.3;20;12.5;83.3;69;null;
1990-03-24;null;null;0;23.5;19.6;15.6;83.3;72;null;
1990-03-25;null;null;0;24.4;17.6;11;80.3;70;null;
1990-03-26;null;null;0;26.3;17.9;9;83;58;null;
1990-03-27;null;null;16.1;19.1;13;8;82.8;73;null;
1990-03-28;null;null;0;26.1;17.2;5.5;73.5;56;null;
1990-03-29;null;null;0;29.1;21.7;13;79.3;69;null;
1990-03-30;null;null;10.5;30.8;22.9;10.7;78.3;77;null;
1990-03-31;null;null;21.4;null;20.3;15.6;94;79;null;
1990-04-01;null;null;0;28.9;21;13.4;85.3;70;null;
1990-04-02;null;null;7.8;null;19;14.9;94.3;86;null;
1990-04-03;null;null;0;22.5;19.3;13.6;85.5;60;null;
1990-04-04;null;null;0;25;18.7;10.4;91.8;90;null;
1990-04-05;null;null;6;24.5;19.6;14;93.5;82;null;
1990-04-06;null;null;29;19;17.2;14.5;95.8;95;null;
1990-04-07;null;null;17.8;20;17.7;12;96.3;95;null;
1990-04-08;null;null;53.7;24.5;19.6;15.5;92.8;96;null;
1990-04-09;null;null;0;27.5;19.8;12;75.5;52;null;
1990-04-10;null;null;0;28;20.1;13.5;91.3;82;null;
1990-04-11;null;null;0;27;19.8;12.5;86.5;82;null;
1990-04-12;null;null;0;31;22.5;12;74.5;51;null;
1990-04-13;null;null;12.3;24.5;20;15.5;93;88;null;
1990-04-14;null;null;0;28.2;20.5;11.6;75.3;54;null;
1990-04-15;null;null;0;31;22.6;12;90;76;null;
1990-04-16;null;null;14;null;18.6;13.6;96.3;94;null;
1990-04-17;null;null;5.1;21.5;13.6;7;90.5;93;null;
1990-04-18;null;null;1.4;16.5;9.1;3;75.8;53;null;
1990-04-19;null;null;0;22.5;15;4;62.3;50;null;
1990-04-20;null;null;0;25;18.4;11.1;78.5;62;null;
1990-04-21;null;null;0;25.5;20.7;14.1;85;82;null;
1990-04-22;null;null;4.4;30;23.5;15.4;68.8;51;null;
1990-04-23;null;null;6.5;null;18.9;13.5;88.3;73;null;
1990-04-24;null;null;0;24.5;19;13;93.3;91;null;
1990-04-25;null;null;31.7;24.5;20.2;14;87.5;83;null;
1990-04-26;null;null;0;29.5;21.6;12;80.5;59;null;
1990-04-27;null;null;20.9;24.5;19.9;15.6;91;77;null;
1990-04-28;null;null;2.2;24.5;17.9;12.5;95.8;91;null;
1990-04-29;null;null;27;19.5;17.7;16;91.8;92;null;
1990-04-30;null;null;0;20.2;13;4;77;59;null;
1990-05-01;null;null;0;20.6;13.1;5.5;74;45;null;
1990-05-02;null;null;0;21.9;14.4;5.7;73.5;49;null;
1990-05-03;null;null;0;24.1;13.9;6;82.5;50;null;
1990-05-04;null;null;0;25.8;17.6;7.5;67.8;45;null;
1990-05-05;null;null;0;22.4;15.9;9;80.8;66;null;
1990-05-06;null;null;0;26.2;17.4;8.5;73;54;null;
1990-05-07;null;null;0;26.2;18.5;9.5;76.3;58;null;
1990-05-08;null;null;17.5;null;16.1;8.6;90.5;83;null;
1990-05-09;null;null;0;27.6;20;11.4;69.8;58;null;
1990-05-10;null;null;12.7;22.5;15.4;9.9;90.8;69;null;
1990-05-11;null;null;0;20.1;12.3;7;86;68;null;
1990-05-12;null;null;0;21.3;12.5;4;71.5;46;null;
1990-05-13;null;null;0;21.7;15.1;4.5;77.3;58;null;
1990-05-14;null;null;0;24;15.7;7;78.8;61;null;
1990-05-15;null;null;1;19;13.5;9;94;85;null;
1990-05-16;null;null;0;17.1;11.4;3;82.8;76;null;
1990-05-17;null;null;1.6;18;9.7;4.2;77.5;42;null;
1990-05-18;null;null;2.5;8.2;6.8;2.9;93;87;null;
1990-05-19;null;null;0;11.5;10.6;5;77.8;67;null;
1990-05-20;null;null;0;19.8;13.4;7.8;81.8;57;null;
1990-05-21;null;null;0;null;8.2;3.2;80;53;null;
1990-05-22;null;null;0;12.6;7.2;.6;72.5;66;null;
1990-05-23;null;null;0;20.7;10.7;-1.1;55.5;46;null;
1990-05-24;null;null;0;24.3;14.2;2;47;27;null;
1990-05-25;null;null;0;23.6;13.6;3.6;68;49;null;
1990-05-26;null;null;0;27.3;17.8;5.5;57.3;40;null;
1990-05-27;null;null;18.2;22;15.6;9.1;83.5;58;null;
1990-05-28;null;null;16.3;15.1;13;10.1;93;84;null;
1990-05-29;null;null;21.7;17;15.4;10;91.5;91;null;
1990-05-30;null;null;139.2;17.8;15.6;12.6;96.5;90;null;
1990-05-31;null;null;30;15.7;12.9;9.2;96.3;94;null;
1990-06-01;null;null;0;17;11.5;5;87.3;79;null;
1990-06-02;null;null;1.4;20.9;15.7;8.5;88.8;80;null;
1990-06-03;null;null;25.9;20;16.8;13.1;92.8;85;null;
1990-06-04;null;null;16.2;null;15.9;12.8;95;94;null;
1990-06-05;null;null;17.6;null;13.6;9;97.8;94;null;
1990-06-06;null;null;0;14.5;8.4;2.6;80.3;63;null;
1990-06-07;null;null;0;16.5;9.2;1.5;77.8;60;null;
1990-06-08;null;null;0;21.3;12.3;2.1;68.3;50;null;
1990-06-09;null;null;0;19.2;12.7;8.5;78.3;62;null;
1990-06-10;null;null;0;11.5;6.5;3.1;70.3;56;null;
1990-06-11;null;null;0;14.9;6.4;-1.5;69.5;42;null;
1990-06-12;null;null;0;14;10.4;5.5;85;72;null;
1990-06-13;null;null;18.9;17.8;13.7;9;94.3;87;null;
1990-06-14;null;null;2;14.6;11.7;8.9;91.8;79;null;
1990-06-15;null;null;null;12.1;8.7;6.4;70.8;47;null;
1990-06-16;null;null;0;15.3;8.3;.2;60.8;45;null;
1990-06-17;null;null;0;20.2;10.5;-.2;62.3;41;null;
1990-06-18;null;null;0;23;14.1;5;63;53;null;
1990-06-19;null;null;0;21.8;14;5.5;77;63;null;
1990-06-20;null;null;65.7;null;7.7;4.1;96.3;81;null;
1990-06-21;null;null;1;9.6;5.6;2.9;93.3;74;null;
1990-06-22;null;null;0;9.1;5.5;0;92.5;86;null;
1990-06-23;null;null;0;19.5;10.2;1.6;77.8;53;null;
1990-06-24;null;null;4.3;15;13.7;10.5;96;80;null;
1990-06-25;null;null;1;null;10;7.2;89.5;75;null;
1990-06-26;null;null;0;16.8;8.8;1.5;77.3;62;null;
1990-06-27;null;null;0;20.5;11.8;2.6;78;65;null;
