Nome: BENTO GONCALVES
Codigo Estacao: 83941
Latitude: -29.164588
Longitude: -51.534104
Altitude: 624.1
Situacao: Desativada
Data Inicial: 1990-01-01
Data Final: 2013-12-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1990-01-01;null;9.6;.8;25;null;18.2;null;64;null;
1990-01-02;null;2.7;0;21.2;null;15.6;null;57;null;
1990-01-03;null;12.2;0;26.7;null;13.7;null;45;null;
1990-01-04;null;11.8;0;27.5;null;16.2;null;53;null;
1990-01-05;null;11.4;0;28.3;null;16.8;null;49;null;
1990-01-06;null;8.4;0;28.7;null;17.8;null;59;null;
1990-01-07;null;9.6;4;30.5;null;19.6;null;52;null;
1990-01-08;null;7.6;2.1;27;null;18.8;null;61;null;
1990-01-09;null;5.3;.7;22.4;null;16.2;null;77;null;
1990-01-10;null;.3;0;22.3;null;16.3;null;66;null;
1990-01-11;null;1.2;.1;24.7;null;16.8;null;69;null;
1990-01-12;null;7.8;0;29;null;18;null;59;null;
1990-01-13;null;10.5;0;30.9;null;20.1;null;51;null;
1990-01-14;null;6;80.2;26.9;null;18.1;null;69;null;
1990-01-15;null;10.5;.3;28.1;null;18.6;null;44;null;
1990-01-16;null;0;.2;null;null;19.7;null;91;null;
1990-01-17;null;7.6;14;28.1;null;18.5;null;67;null;
1990-01-18;null;.4;18.5;null;null;13;null;67;null;
1990-01-19;null;3.9;.1;21.7;null;11.3;null;52;null;
1990-01-20;null;0;30.5;19.3;null;16.2;null;94;null;
1990-01-21;null;5.7;26.8;25.5;null;16.4;null;56;null;
1990-01-22;null;7.6;3.8;27;null;18;null;57;null;
1990-01-23;null;5.5;.1;27.5;null;16.6;null;65;null;
1990-01-24;null;.8;2.3;24.5;null;19.4;null;78;null;
1990-01-25;null;8.1;32.1;28;null;18.6;null;72;null;
1990-01-26;null;12.1;0;30.9;null;18.8;null;30;null;
1990-01-27;null;11.9;0;31.6;null;19.6;null;42;null;
1990-01-28;null;10.3;0;31.8;null;20.2;null;49;null;
1990-01-29;null;11.6;0;31.5;null;20.8;null;54;null;
1990-01-30;null;11.8;0;32.2;null;22.1;null;45;null;
1990-01-31;null;7.6;0;31.8;22.9;19;79.3;51;null;
1990-02-01;null;2.7;21.2;29.2;23.8;18.3;79.8;59;null;
1990-02-02;null;11.7;0;29.8;24.2;18.8;49.5;35;null;
1990-02-03;null;10.3;0;30.2;25.5;19.4;64.5;46;null;
1990-02-04;null;9.2;0;31.2;25.2;19.9;67.5;47;null;
1990-02-05;null;11.8;0;30.7;24.2;19.6;67.5;45;null;
