Nome: CAXIAS DO SUL
Codigo Estacao: 83942
Latitude: -29.1961111
Longitude: -51.18638888
Altitude: 750.16
Situacao: Operante
Data Inicial: 1990-01-01
Data Final: 2025-02-16
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1990-01-01;null;1.6;10.7;null;null;17.5;null;72;null;
1990-01-02;null;2.2;.3;null;null;15;null;75;null;
1990-01-03;null;7.8;0;null;null;12.9;null;58;null;
1990-01-04;null;9.8;0;null;null;16.5;null;63;null;
1990-01-05;null;10;0;null;null;16;null;54;null;
1990-01-06;null;6.8;0;null;null;18.1;null;63;null;
1990-01-07;null;6.8;0;null;null;19.7;null;58;null;
1990-01-08;null;4.7;.4;null;null;18.5;null;74;null;
1990-01-09;null;.6;.1;null;null;15.5;null;87;null;
1990-01-10;null;0;2.5;null;null;15.1;null;75;null;
1990-01-11;null;1.9;.1;null;null;16.1;null;82;null;
1990-01-12;null;7.4;0;null;null;18;null;69;null;
1990-01-13;null;7.5;3.2;null;null;20.5;null;55;null;
1990-01-14;null;5.4;39.8;null;null;17.5;null;83;null;
1990-01-15;null;7.8;.6;null;null;17.2;null;57;null;
1990-01-16;null;1.4;0;null;null;19;null;84;null;
1990-01-17;null;5.7;30.6;null;null;18.9;null;80;null;
1990-01-18;null;1.5;18.9;null;null;13;null;75;null;
1990-01-19;null;1.4;1.2;null;null;10.4;null;72;null;
1990-01-20;null;0;34;null;null;15.6;null;98;null;
1990-01-21;null;2.2;28.6;null;null;16.3;null;78;null;
1990-01-22;null;6.2;4;null;null;17.9;null;91;null;
1990-01-23;null;5;8.8;null;null;15.9;null;50;null;
1990-01-24;null;0;1.5;null;null;20.5;null;74;null;
1990-01-25;null;6.3;34.1;null;null;18.7;null;68;null;
1990-01-26;null;11.6;.3;null;null;18.3;null;39;null;
1990-01-27;null;11.6;0;null;null;19.6;null;46;null;
1990-01-28;null;11.1;0;null;null;20.4;null;49;null;
1990-01-29;null;11.2;0;null;null;20.6;null;52;null;
1990-01-30;null;11.3;0;null;null;22.4;null;48;null;
1990-01-31;null;4.6;0;null;null;21.9;null;70;null;
1990-02-01;null;null;null;null;null;null;null;null;null;
1990-02-02;null;null;null;null;null;null;null;null;null;
1990-02-03;null;null;null;null;null;null;null;null;null;
1990-02-04;null;null;null;null;null;null;null;null;null;
1990-02-05;null;null;null;null;null;null;null;null;null;
1990-02-06;null;null;null;null;null;null;null;null;null;
1990-02-07;null;null;null;null;null;null;null;null;null;
1990-02-08;null;null;null;null;null;null;null;null;null;
1990-02-09;null;null;null;null;null;null;null;null;null;
1990-02-10;null;null;null;null;null;null;null;null;null;
1990-02-11;null;null;null;null;null;null;null;null;null;
1990-02-12;null;null;null;null;null;null;null;null;null;
1990-02-13;null;null;null;null;null;null;null;null;null;
1990-02-14;null;null;null;null;null;null;null;null;null;
1990-02-15;null;null;null;null;null;null;null;null;null;
1990-02-16;null;null;null;null;null;null;null;null;null;
1990-02-17;null;null;null;null;null;null;null;null;null;
1990-02-18;null;null;null;null;null;null;null;null;null;
1990-02-19;null;null;null;null;null;null;null;null;null;
1990-02-20;null;null;null;null;null;null;null;null;null;
1990-02-21;null;null;null;null;null;null;null;null;null;
1990-02-22;null;null;null;null;null;null;null;null;null;
1990-02-23;null;null;null;null;null;null;null;null;null;
1990-02-24;null;null;null;null;null;null;null;null;null;
1990-02-25;null;null;null;null;null;null;null;null;null;
1990-02-26;null;null;null;null;null;null;null;null;null;
1990-02-27;null;null;null;null;null;null;null;null;null;
1990-02-28;null;null;null;null;null;null;null;null;null;
1990-03-01;null;null;null;null;null;null;null;null;null;
1990-03-02;null;null;null;null;null;null;null;null;null;
1990-03-03;null;2.1;0;null;null;15.5;null;88;null;
1990-03-04;null;7.9;0;null;null;17.5;null;75;null;
1990-03-05;null;0;0;null;null;19.6;null;89;null;
1990-03-06;null;3;47.9;null;null;17.4;null;90;null;
1990-03-07;null;6.8;0;null;null;15.8;null;77;null;
1990-03-08;null;13.5;0;null;null;18.1;null;63;null;
1990-03-09;null;1.8;8.2;null;null;18;null;70;null;
1990-03-10;null;0;0;null;null;19.3;null;72;null;
1990-03-11;null;4.6;0;null;null;21.4;null;63;null;
1990-03-12;null;.8;0;null;null;19.8;null;61;null;
1990-03-13;null;8.2;2.9;null;null;18.6;null;53;null;
1990-03-14;null;4.7;17.9;null;null;18.4;null;63;null;
1990-03-15;null;4.3;2;null;null;17.5;null;77;null;
1990-03-16;null;null;.6;null;null;18.3;null;83;null;
1990-03-17;null;2.1;0;null;null;16.5;null;90;null;
1990-03-18;null;1;7.5;null;null;17.5;null;85;null;
1990-03-19;null;2.9;1.6;null;null;14;null;87;null;
1990-03-20;null;4.8;0;null;null;16.3;null;80;null;
1990-03-21;null;3.1;0;null;null;18.1;null;83;null;
1990-03-22;null;3.9;15.1;null;null;15.4;null;75;null;
1990-03-23;null;1.2;0;null;null;16;null;74;null;
1990-03-24;null;2.8;1.7;null;null;17.2;null;70;null;
1990-03-25;null;7;0;null;null;15.1;null;59;null;
1990-03-26;null;1.8;0;null;null;12.7;null;61;null;
1990-03-27;null;1.2;9.5;null;null;12.5;null;84;null;
1990-03-28;null;8.9;2.3;null;null;9.1;null;63;null;
1990-03-29;null;4.1;0;null;null;17.5;null;66;null;
1990-03-30;null;null;0;null;null;19;null;60;null;
1990-03-31;null;.3;40.3;null;null;17;null;86;null;
1990-04-01;null;7.6;.1;null;null;15.6;null;65;null;
1990-04-02;null;.5;0;null;null;19.1;null;83;null;
1990-04-03;null;5;10;null;null;15.9;null;72;null;
1990-04-04;null;4.7;0;null;null;16;null;72;null;
1990-04-05;null;3.7;1;null;null;17;null;74;null;
1990-04-06;null;0;10.5;null;null;18;null;96;null;
1990-04-07;null;.8;3.5;null;null;15;null;82;null;
1990-04-08;null;1.1;39.4;null;null;17.5;null;90;null;
1990-04-09;null;null;1.1;null;null;16.3;null;86;null;
1990-04-10;null;8.8;0;null;null;16.4;null;58;null;
1990-04-11;null;4.5;0;null;null;17.4;null;82;null;
1990-04-12;null;8.6;0;null;null;15.6;null;56;null;
1990-04-13;null;.9;0;null;null;18.5;null;82;null;
1990-04-14;null;4.8;1.9;null;null;17.6;null;74;null;
1990-04-15;null;8.1;0;null;null;16.2;null;54;null;
1990-04-16;null;0;0;null;null;16.1;null;71;null;
1990-04-17;null;1.5;16.1;null;null;17.6;null;73;null;
1990-04-18;null;7.9;2.8;null;null;5;null;62;null;
1990-04-19;null;3.3;0;null;null;7;null;72;null;
1990-04-20;null;.3;0;null;null;13.6;null;84;null;
1990-04-21;null;3.9;2;null;null;16.4;null;70;null;
1990-04-22;null;7.3;.2;null;null;18;null;60;null;
1990-04-23;null;1.7;15.8;null;null;15.3;null;83;null;
1990-04-24;null;1.3;0;null;null;17.5;null;85;null;
1990-04-25;null;.3;27;null;null;16.8;null;88;null;
1990-04-26;null;6.3;17.3;null;null;18.5;null;63;null;
1990-04-27;null;.9;62.2;null;null;16.5;null;96;null;
1990-04-28;null;0;16;null;null;17.1;null;86;null;
1990-04-29;null;null;14.9;null;null;13.9;null;91;null;
1990-04-30;null;7.2;1.9;null;null;7.5;null;69;null;
1990-05-01;null;7.2;0;null;null;8.4;null;51;null;
1990-05-02;null;6.6;0;null;null;9.5;null;77;null;
1990-05-03;null;7.6;0;null;null;9.5;null;50;null;
1990-05-04;null;8.4;0;null;null;10.5;null;51;null;
1990-05-05;null;1.6;0;null;null;11.7;null;63;null;
1990-05-06;null;8.4;0;null;null;12;null;61;null;
1990-05-07;null;7.6;0;null;null;14.5;null;60;null;
1990-05-08;null;2.7;0;null;null;13.9;null;80;null;
1990-05-09;null;6.9;0;null;null;13.2;null;62;null;
1990-05-10;null;1.3;0;null;null;14.5;null;83;null;
1990-05-11;null;5.9;15.4;null;null;10.4;null;75;null;
1990-05-12;null;7.8;0;null;null;7.4;null;57;null;
1990-05-13;null;5.2;0;null;null;7.1;null;68;null;
1990-05-14;null;3.2;0;null;null;11.5;null;62;null;
1990-05-15;null;1.2;0;null;null;13;null;77;null;
1990-05-16;null;6.5;0;null;null;6.4;null;56;null;
1990-05-17;null;2.1;0;null;null;7.1;null;69;null;
1990-05-18;null;.1;6.8;null;null;4.5;null;92;null;
1990-05-19;null;3;5.9;null;null;6.1;null;80;null;
1990-05-20;null;5.8;0;null;null;8.6;null;65;null;
1990-05-21;null;4.9;0;null;null;9.6;null;61;null;
1990-05-22;null;8.1;0;null;null;2.4;null;61;null;
1990-05-23;null;8.2;0;null;null;3.4;null;37;null;
1990-05-24;null;8.3;0;null;null;9.5;null;31;null;
1990-05-25;null;4;0;null;null;12.4;null;45;null;
1990-05-26;null;8.2;0;null;null;12.4;null;48;null;
1990-05-27;null;5.2;0;null;null;13.5;null;63;null;
1990-05-28;null;0;17.4;null;null;9.6;null;99;null;
1990-05-29;null;0;4.1;null;null;11.2;null;88;null;
1990-05-30;null;0;21.6;null;null;13.6;null;92;null;
1990-05-31;null;0;81.9;null;null;13.9;null;89;null;
1990-06-01;null;4.8;12.2;null;null;7.9;null;65;null;
