Nome: SANTANA DO LIVRAMENTO
Codigo Estacao: 83953
Latitude: -30.842617
Longitude: -55.613073
Altitude: 328.22
Situacao: Desativada
Data Inicial: 1990-01-01
Data Final: 2013-12-16
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1990-01-01;null;11.3;0;28.8;22.8;15.5;46.8;30;null;
1990-01-02;null;11.8;0;28.2;22.7;16;57.5;40;null;
1990-01-03;null;13.3;0;29.5;23.1;15.3;50.5;42;null;
1990-01-04;null;13.3;0;30.7;25.4;17.8;51.5;44;null;
1990-01-05;null;13.1;0;32.9;26.5;18.3;45.5;32;null;
1990-01-06;null;13.3;0;32;26.2;18.7;52.8;39;null;
1990-01-07;null;5.6;0;34.1;28.4;20.1;53.8;37;null;
1990-01-08;null;5.3;0;null;24.6;21.4;64.3;51;null;
1990-01-09;null;6.4;0;27.2;22.1;17;63;54;null;
1990-01-10;null;12.4;0;28.1;22.5;16.5;60.8;52;null;
1990-01-11;null;13;0;29.1;23.5;15.8;55.8;46;null;
1990-01-12;null;13.1;0;33.7;26.6;18.6;45;29;null;
1990-01-13;null;5.5;0;31.1;25.6;20.1;70;39;null;
1990-01-14;null;11.5;5.8;32.5;27.1;21;57.5;46;null;
1990-01-15;null;3.2;0;31.7;26.2;20.1;44.8;33;null;
1990-01-16;null;6.7;0;28.3;24.3;19.7;77.5;39;null;
1990-01-17;null;1.2;15.4;null;20;18.1;80;76;null;
1990-01-18;null;12.9;0;22.5;17.2;10.3;50.8;43;null;
1990-01-19;null;13;0;26.4;19.9;10.7;52.3;39;null;
1990-01-20;null;11.2;3;27.2;21.8;15.9;60.5;44;null;
1990-01-21;null;12.8;0;29;23.5;16.6;56.8;43;null;
1990-01-22;null;12.4;0;32.1;26.1;18.3;50.8;33;null;
1990-01-23;null;8.5;0;30.1;23.5;16.8;81.5;46;null;
