Nome: CAMPO BOM
Codigo Estacao: 83961
Latitude: -29.677684
Longitude: -51.049914
Altitude: 28.96
Situacao: Desativada
Data Inicial: 1990-01-01
Data Final: 2013-11-29
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1990-01-01;1.3;null;3.9;28.6;23.5;19.6;74;64;null;
1990-01-02;3;null;0;27.1;21.5;15.9;73.3;65;null;
1990-01-03;3;null;0;31.3;22.9;14.3;66.3;49;null;
1990-01-04;4.5;null;0;33.5;24.9;16.8;62.5;45;null;
1990-01-05;4.5;null;0;33.7;24.9;16.6;64.8;47;null;
1990-01-06;5;null;0;34.9;26.3;18.5;71.8;55;null;
1990-01-07;4.2;null;0;35.3;27.6;20.4;65.3;54;null;
1990-01-08;5.3;null;0;28;24.4;21.9;82.5;72;null;
1990-01-09;2.5;null;11.1;24.9;22.1;20.3;75.8;77;null;
1990-01-10;2.3;null;0;28.7;22.2;17.1;77.3;57;null;
1990-01-11;2.7;null;.4;28.6;23.6;18.6;88;83;null;
1990-01-12;2;null;.3;33.9;25.6;19.1;71.8;46;null;
1990-01-13;4.3;null;0;36.6;26.4;21;77;65;null;
1990-01-14;4.7;null;9.6;32.3;25.2;20.9;80.3;59;null;
1990-01-15;2.6;null;.6;34;25.1;19.2;70.5;43;null;
1990-01-16;3.9;null;4.8;24.7;22.7;20.9;94;75;null;
1990-01-17;.9;null;7.8;32.9;25.4;21.5;86.3;76;null;
1990-01-18;2.5;null;30.7;22.3;18.4;16.2;82.8;76;null;
1990-01-19;2;null;0;27.8;20.2;12.1;70;57;null;
1990-01-20;3.2;null;33.9;22.8;19.9;17.4;92.8;73;null;
1990-01-21;.5;null;15;30.6;23.4;17.1;81.8;66;null;
1990-01-22;2.5;null;0;31.7;25;20.6;82.3;85;null;
1990-01-23;3.8;null;0;34.4;25.4;16.8;69.5;34;null;
1990-01-24;4.3;null;.3;30.3;24.6;21.6;78.8;58;null;
1990-01-25;2.2;null;17.3;32.4;25.9;21.2;78.3;63;null;
1990-01-26;3.5;null;0;35.7;26;19.2;71.3;37;null;
1990-01-27;5.5;null;0;36.2;27.2;19.1;70.8;49;null;
1990-01-28;4.5;null;0;38.7;30.2;22.7;63.5;43;null;
1990-01-29;6.2;null;0;38.2;31.2;23.9;61.3;46;null;
1990-01-30;6;null;0;39;31;24.3;56.3;38;null;
1990-01-31;7.5;null;0;36.8;26.5;21.6;75.8;47;null;
1990-02-01;3.7;null;21.6;31.8;26;19.8;85.8;94;null;
1990-02-02;1.4;null;0;36.8;27.8;21.8;65.5;87;null;
1990-02-03;5.4;null;0;37.4;28.4;20.4;62;78;null;
1990-02-04;5;null;0;35.6;27.6;21.6;72.8;66;null;
1990-02-05;4.6;null;0;35.6;27.6;21.2;64.8;79;null;
1990-02-06;5.4;null;0;36.2;27.5;20.6;62.8;71;null;
1990-02-07;5.3;null;0;36.3;27.2;19.6;65.8;71;null;
1990-02-08;5.4;null;0;34.7;27.3;21.5;72.8;73;null;
1990-02-09;3.3;null;0;33.2;26.6;23.3;77.5;77;null;
1990-02-10;3.3;null;0;32.6;25.7;21.8;81.3;86;null;
1990-02-11;2.2;null;1.7;32.9;25.5;22.4;85.3;91;null;
1990-02-12;1.7;null;20.2;27.9;23.7;21.7;91.3;96;null;
1990-02-13;.8;null;1.4;30.5;24.8;20.8;84;93;null;
1990-02-14;2.1;null;0;31.3;24.8;20.8;83.3;90;null;
1990-02-15;1.9;null;0;31.7;24.3;20;78;89;null;
1990-02-16;3.2;null;0;29.9;23.2;19.2;78.5;80;null;
1990-02-17;2.9;null;8.3;25.8;21.7;19;84.5;84;null;
1990-02-18;1.4;null;3.1;30.5;22.2;16.3;84;91;null;
1990-02-19;2.5;null;7.6;28.8;21.5;17;78.3;94;null;
1990-02-20;3;null;0;31.5;23.6;15.3;77;83;null;
1990-02-21;3.2;null;0;33.2;25.8;20.6;71;84;null;
1990-02-22;3.8;null;0;31.5;24.9;21.8;83.3;77;null;
