Nome: ENCRUZILHADA DO SUL
Codigo Estacao: 83964
Latitude: -30.54305555
Longitude: -52.52472221
Altitude: 427.75
Situacao: Fechada
Data Inicial: 1990-01-01
Data Final: 2021-07-24
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1990-01-01;null;12.8;0;26.4;20.4;17.8;69.5;50;null;
1990-01-02;null;10.3;0;26.2;20.4;16.4;62.5;43;null;
1990-01-03;null;11.9;0;28.2;21.4;15.6;62.8;46;null;
1990-01-04;null;12.5;0;30.2;21.9;15.8;61.3;29;null;
1990-01-05;null;12.6;0;31.2;23.3;17.2;65.5;43;null;
1990-01-06;null;11.5;0;32;24.3;17.6;70.3;45;null;
1990-01-07;null;11.7;0;33.8;24.9;19.6;72.5;42;null;
1990-01-08;null;8.6;0;27;21.7;19;78;76;null;
1990-01-09;null;.9;1;23.8;19.2;16.8;72;56;null;
1990-01-10;null;1.7;.2;25;20;16.8;68.5;53;null;
1990-01-11;null;6.3;0;26.9;21.9;17.2;74.3;60;null;
1990-01-12;null;8.7;0;31.4;24.5;18.6;59.8;47;null;
1990-01-13;null;6.6;0;32.9;25.6;21.4;69.3;53;null;
1990-01-14;null;4;0;29.9;24;21;70;61;null;
1990-01-15;null;10.2;.1;31.8;24.3;18.9;65;34;null;
1990-01-16;null;.4;.1;24.4;21.3;19;87.8;74;null;
1990-01-17;null;3.5;3;26.1;21.6;18.9;90.3;80;null;
1990-01-18;null;7.5;29.6;23.6;17.2;12.2;55.8;35;null;
1990-01-19;null;12.2;0;25.7;19;13.3;53.3;39;null;
1990-01-20;null;4.6;2;24.4;19.4;15.7;80;57;null;
1990-01-21;null;8.5;3.8;26.6;21;16.4;79;65;null;
1990-01-22;null;10.7;0;31.5;24;17.7;53.5;33;null;
1990-01-23;null;9.1;0;30.2;24.8;19.6;65.3;51;null;
1990-01-24;null;0;16;null;21.3;20;97.5;67;null;
