Nome: PORTO ALEGRE
Codigo Estacao: 83967
Latitude: -30.05361111
Longitude: -51.17476666
Altitude: 41.18
Situacao: Operante
Data Inicial: 1990-01-01
Data Final: 2025-02-16
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1990-01-01;3.2;2.7;.1;25;22.3;20.5;75.3;73;4.6;
1990-01-02;2.7;4.5;.6;26.4;21.8;17.7;64.3;53;3.2;
1990-01-03;4.8;12.5;0;29.6;23.3;17.6;61.8;43;3.2;
1990-01-04;5.8;11.8;0;32.4;24.7;17.4;63.5;47;2.5;
1990-01-05;5.1;12.6;0;31.6;24.6;18.9;65.3;48;3.8;
1990-01-06;5.5;11.1;0;33.2;26.1;20.3;69.5;53;3.3;
1990-01-07;5.2;11.5;0;35.4;27.5;21.3;65;45;1.1;
1990-01-08;4.4;3.1;0;29.2;24.9;22.6;67;59;4.5;
1990-01-09;5.3;0;0;24.4;21.7;19.4;70.5;63;4.2;
1990-01-10;3.9;.4;0;26.9;22;19.7;76.3;55;3.1;
1990-01-11;4;3.9;3;29;24;19.6;75.5;63;2.1;
1990-01-12;2.7;9.6;0;32.4;25.7;19.3;65.5;43;1.9;
1990-01-13;5.1;9.5;0;37.4;28.2;22.5;58;38;2.6;
1990-01-14;4.2;3.1;1.9;32.8;26.2;22.4;72.3;51;1.4;
1990-01-15;3.1;4.6;0;32.3;25.1;20.8;71;44;2;
1990-01-16;4;0;1.6;25.4;23.3;21.3;86.8;78;.8;
1990-01-17;1;4.9;21.1;31;25;21.3;76.8;62;2.3;
1990-01-18;2.1;.6;12.6;22.5;19.1;17.5;69;60;1.7;
1990-01-19;2.6;8.9;0;26.6;20.6;12.1;57.8;45;1.7;
1990-01-20;5.2;.8;7.4;23.7;20.6;17.4;90;64;.5;
1990-01-21;.5;4.7;8;27.8;23;18.5;78.5;68;2.8;
1990-01-22;2.8;6.8;0;31.8;25.2;21;73.3;47;1.2;
1990-01-23;3.7;9.7;0;33.4;25.4;19.3;64.3;32;1.3;
1990-01-24;4.5;0;2.2;28.2;23.7;21.5;83.5;66;2.1;
1990-01-25;1.6;8.4;5.5;32.4;26.4;21.5;74.8;57;1.9;
1990-01-26;2.7;11.8;0;35.3;26.5;21.3;64;27;2.4;
1990-01-27;5.7;12.3;0;35.4;27.1;21.1;70.3;50;2.9;
1990-01-28;4.6;11.7;0;37;29.4;23;60.8;43;1.8;
1990-01-29;5.6;11.5;0;37;30.7;25.4;59.3;45;2.8;
1990-01-30;5.4;10.7;0;38.1;31.9;26.3;67.5;61;2.1;
1990-01-31;6.4;.6;0;37.4;26.5;21.2;77.5;58;2.9;
1990-02-01;3.2;0;49.9;28.8;25.2;21.1;83;79;1.5;
1990-02-02;2.7;11.5;0;35.7;27.4;22.5;67.5;34;.9;
1990-02-03;4.7;11.2;0;35.8;28.6;21.9;53.8;42;1.5;
1990-02-04;5.3;11.5;0;34.6;26.4;20.7;70.3;50;2.4;
1990-02-05;3.9;11.7;0;32.7;26.5;21.7;67.3;51;3.2;
1990-02-06;5.3;11.4;0;35.4;27.6;21.6;57;36;1.3;
1990-02-07;5;9.2;0;36.4;28.3;21.3;56;37;1.2;
1990-02-08;5.3;4;0;34.8;27.6;23.3;69;51;1;
1990-02-09;3.8;3.1;0;30.2;26.2;24.6;74.5;59;3.6;
1990-02-10;null;null;0;null;null;null;null;82;null;
1990-02-11;null;2;0;29;23.9;21.6;84.5;70;5.7;
1990-02-12;1.9;0;33.2;25.2;22.7;21.1;88.5;89;3;
1990-02-13;1.2;2.6;3.6;28.6;23.8;21.5;85.3;73;3.6;
1990-02-14;1.7;1.4;0;28.4;23.9;21.6;83.5;70;2.7;
1990-02-15;2;5;.3;31.4;24.9;21.9;77.5;63;1.9;
1990-02-16;2.6;4;0;27.6;23.1;20.5;77;71;2.4;
1990-02-17;3.7;2.2;3.7;26.5;22.2;19.2;77.3;59;2.6;
1990-02-18;1.8;7.1;0;29.4;22.8;18.2;83;74;.5;
1990-02-19;2.1;10.4;17.8;26.6;21.9;17.6;65;57;3.2;
1990-02-20;3.9;6.6;0;31;24.8;18.4;69.5;52;1.1;
1990-02-21;2.8;5.2;0;30.7;25.6;21;66;61;1;
1990-02-22;3.4;3;0;30.8;24.9;22.4;80.3;55;.9;
1990-02-23;2.3;2.3;3.8;28.3;22.6;18.7;87.8;77;1.9;
