Nome: TEUTONIA
Codigo Estacao: 83972
Latitude: -29.448748
Longitude: -51.799035
Altitude: 64.45
Situacao: Desativada
Data Inicial: 1998-10-03
Data Final: 2011-11-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1998-10-03;null;null;null;null;null;null;null;null;null;
1998-10-04;null;null;null;null;null;null;null;null;null;
1998-10-05;null;null;null;null;null;null;null;null;null;
1998-10-06;null;null;null;null;null;null;null;null;null;
1998-10-07;null;null;null;null;null;null;null;null;null;
1998-10-08;null;null;null;null;null;null;null;null;null;
1998-10-09;null;null;null;null;null;null;null;null;null;
1998-10-10;null;null;null;null;null;null;null;null;null;
1998-10-11;null;null;null;null;null;null;null;null;null;
1998-10-12;null;null;null;null;null;null;null;null;null;
1998-10-13;null;null;null;null;null;null;null;null;null;
1998-10-14;null;null;null;null;null;null;null;null;null;
1998-10-15;null;null;null;null;null;null;null;null;null;
1998-10-16;null;null;null;null;null;null;null;null;null;
1998-10-17;null;null;null;null;null;null;null;null;null;
1998-10-18;null;null;null;null;null;null;null;null;null;
1998-10-19;null;null;null;null;null;null;null;null;null;
1998-10-20;null;null;null;null;null;null;null;null;null;
1998-10-21;null;null;null;null;null;null;null;null;null;
1998-10-22;null;null;null;null;null;null;null;null;null;
1998-10-23;null;null;null;null;null;null;null;null;null;
1998-10-24;null;null;null;null;null;null;null;null;null;
1998-10-25;null;null;null;null;null;null;null;null;null;
1998-10-26;null;null;null;null;null;null;null;null;null;
1998-10-27;null;null;null;null;null;null;null;null;null;
1998-10-28;null;null;null;null;null;null;null;null;null;
1998-10-29;null;null;null;null;null;null;null;null;null;
1998-10-30;null;null;null;null;null;null;null;null;null;
1998-10-31;null;null;null;null;null;null;null;null;null;
1998-11-01;null;null;null;null;null;null;null;null;null;
1998-11-02;null;null;null;null;null;null;null;null;null;
1998-11-03;null;null;null;null;null;null;null;null;null;
1998-11-04;.8;null;9;27.2;20.7;15.4;77;51;.7;
1998-11-05;2.5;null;1.6;29.4;21.6;14.8;68;46;.7;
1998-11-06;4.9;null;0;30;22.1;14.2;71;54;.7;
1998-11-07;3.8;null;4.7;27;21.4;17.6;84.8;71;2.7;
1998-11-08;1.7;null;0;22.8;18.7;15;73.3;67;3.7;
1998-11-09;2.7;null;0;25;18.2;10.8;68;52;1.7;
1998-11-10;3.5;null;0;22;18.2;14.8;77.8;70;3;
1998-11-11;2.5;null;0;27.4;20.7;14.8;68.3;54;1.3;
1998-11-12;4.1;null;0;30;22.8;14.8;61;40;.3;
1998-11-13;6.8;null;0;29.2;22.2;18.8;77.3;54;2.3;
1998-11-14;5.2;null;.1;33.4;24.6;15.8;59.5;42;.3;
1998-11-15;5.9;null;0;34.8;25.8;19.8;68;58;.7;
