Nome: BAGE
Codigo Estacao: 83980
Latitude: -31.30555555
Longitude: -54.11944443
Altitude: 245.66
Situacao: Operante
Data Inicial: 1990-01-01
Data Final: 2025-02-16
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1990-01-01;null;11.7;0;32.2;22.8;15.2;45.5;31;null;
1990-01-02;null;11;0;32;22.9;15.1;49.5;33;null;
1990-01-03;null;12.5;0;33.5;24.9;16.9;45.5;35;null;
1990-01-04;null;12.3;0;34.5;26.6;18.9;39.3;29;null;
1990-01-05;null;12.4;0;36.5;26.8;19.1;49.5;23;null;
1990-01-06;null;12.3;0;36.2;27.5;17.8;50.8;28;null;
1990-01-07;null;12.1;0;37.3;27.4;20.1;44;10;null;
1990-01-08;null;3.4;0;30.5;23.8;21.2;62.8;42;null;
1990-01-09;null;4.1;0;31.2;22.3;17.6;51.5;34;null;
1990-01-10;null;2.9;0;29.5;22.8;17;56.8;41;null;
1990-01-11;null;7.6;0;34.5;24.7;16.1;55.5;39;null;
1990-01-12;null;8.5;0;34;27.9;20.5;48.5;37;null;
1990-01-13;null;6.3;0;37.6;27;21.5;62.8;35;null;
1990-01-14;null;9.8;3.6;35;27.6;22;55.5;36;null;
1990-01-15;null;5.5;0;35.7;26.2;19.7;42.8;20;null;
1990-01-16;null;6.4;0;32.5;24.3;20.8;74;37;null;
1990-01-17;null;1.7;0;31.2;22.6;18.4;73.8;70;null;
1990-01-18;null;11.8;11.6;25.5;17.7;10.8;48.3;31;null;
1990-01-19;null;11.3;0;28.5;21.3;12.9;47.3;36;null;
1990-01-20;null;8.7;0;30.4;24;17.9;49.3;40;null;
1990-01-21;null;10.6;0;32.6;24.7;18.1;50.5;32;null;
1990-01-22;null;11.8;0;34;26.5;18.8;48.5;30;null;
1990-01-23;null;9.3;0;36.4;26.9;18.7;53;25;null;
1990-01-24;null;.4;10.6;null;23;20.6;86.8;56;null;
1990-01-25;null;9.6;11;34;27.3;19.7;58;48;null;
1990-01-26;null;10.9;0;35.8;28.3;23;48;34;null;
1990-01-27;null;10.3;0;39.2;29.7;21.5;52.3;35;null;
1990-01-28;null;5.5;0;37.2;29.8;24.8;61;50;null;
1990-01-29;null;8.9;0;38.6;31.4;25.9;53.5;36;null;
1990-01-30;null;9.9;0;38.9;30.7;26.2;55.8;37;null;
1990-01-31;null;5.3;0;36.3;27;23.2;73.5;35;null;
1990-02-01;null;10.1;5;35.8;28;21;54.8;37;null;
1990-02-02;null;10.7;0;37.3;30.1;23.7;47.5;30;null;
1990-02-03;null;7;0;37.7;29.2;24.4;59.3;33;null;
1990-02-04;null;10.9;0;38.2;29.4;21.6;43.3;22;null;
1990-02-05;null;9.2;0;37.6;28.7;21.7;55.3;36;null;
1990-02-06;null;9.1;0;37.8;28.2;22;55.8;32;null;
1990-02-07;null;6.5;0;35.6;27.4;22.6;62;36;null;
1990-02-08;null;.8;0;null;24.2;22.2;89.8;71;null;
1990-02-09;null;0;52.4;28.5;23.5;21.8;94;87;null;
1990-02-10;null;0;12.3;23;22.5;22;94.8;90;null;
1990-02-11;null;0;108.8;24.4;22.2;21.2;95.3;93;null;
1990-02-12;null;0;29.4;23.4;20.6;19.2;86.8;77;null;
1990-02-13;null;0;.1;25.4;21.9;19.6;86;78;null;
1990-02-14;null;0;1.2;24.8;22.3;20.3;91.8;88;null;
1990-02-15;null;2.9;59.2;25.8;20;15.3;83.5;64;null;
1990-02-16;null;4.3;2.5;24.9;20.6;18.3;85.5;70;null;
1990-02-17;null;8.9;2.3;26.2;21.9;17.7;63;48;null;
1990-02-18;null;9.2;0;28.3;22.5;17.8;66.3;50;null;
1990-02-19;null;9;0;28.3;21.7;15.8;68;40;null;
1990-02-20;null;5.8;0;28.5;22.6;15.9;70.5;50;null;
1990-02-21;null;1.3;0;28.1;24.3;19.7;77.5;62;null;
1990-02-22;null;3.9;0;29.5;22.6;19.6;83;56;null;
1990-02-23;null;.1;59.6;24.1;21.1;19;82.8;69;null;
1990-02-24;null;3.5;5.4;28.6;22.1;19;77.8;53;null;
1990-02-25;null;1.2;0;26.5;19.9;18.5;90;75;null;
1990-02-26;null;0;94;20.6;17.5;16.6;90.3;69;null;
1990-02-27;null;0;23.6;20.5;17.6;15.2;84.8;70;null;
1990-02-28;null;5.4;4.6;26;20.4;17;81.8;58;null;
1990-03-01;null;10.6;0;28.6;23.6;18.2;67.5;50;null;
1990-03-02;null;11.4;0;27.4;22.4;19.8;61.8;49;null;
1990-03-03;null;10.9;0;26.1;20.4;15.3;67.5;50;null;
1990-03-04;null;7.7;0;28.7;22;15.3;66.5;49;null;
1990-03-05;null;.6;0;null;21.5;20;95;66;null;
1990-03-06;null;5.6;6;25.8;22;17.6;70.3;58;null;
1990-03-07;null;10.8;0;28.5;22.9;17.9;64.8;46;null;
1990-03-08;null;.3;0;27.4;22.8;18.8;81.5;66;null;
1990-03-09;null;.2;0;29.6;25.2;21.4;79.8;65;null;
1990-03-10;null;0;7.4;null;22.4;20;81.8;58;null;
1990-03-11;null;0;38;23.7;22.2;20;93;81;null;
1990-03-12;null;0;81.2;24.7;21.7;20;97.3;97;null;
1990-03-13;null;.5;25.1;25.1;22.4;19.7;94;87;null;
1990-03-14;null;1.2;3.2;26.4;22.4;20.8;88.5;66;null;
1990-03-15;null;.6;13.8;24;21.2;18.7;88.3;82;null;
1990-03-16;null;3.2;51.4;24.9;19.9;17.7;81;60;null;
1990-03-17;null;1.2;.2;23.8;19.5;16.7;84.8;68;null;
1990-03-18;null;4.3;.1;23.1;19.4;17.6;79;66;null;
1990-03-19;null;10.7;0;25.4;19.2;13.7;72;52;null;
1990-03-20;null;7.6;0;27.7;21.6;16.4;73.8;56;null;
1990-03-21;null;10.6;0;26.9;22.2;18.1;75.8;58;null;
1990-03-22;null;9.8;0;28.1;21.7;17;72.5;52;null;
1990-03-23;null;10.5;0;28.2;22.7;18.3;72.5;56;null;
1990-03-24;null;4.8;.2;24.8;20.6;18.8;80.8;72;null;
1990-03-25;null;10.2;5.4;24;18.2;13.6;65.3;42;null;
1990-03-26;null;5.8;0;25.8;18.8;14;73;50;null;
1990-03-27;null;10.5;.8;18.7;13;8.4;66.8;48;null;
1990-03-28;null;10.8;0;23.7;16.3;8.8;63;39;null;
1990-03-29;null;3.7;0;27.2;21.1;15.3;86.3;71;null;
1990-03-30;null;1;25.6;24;21;19.7;97;97;null;
1990-03-31;null;6.6;35;22;17.9;16.6;78.5;60;null;
1990-04-01;null;9.4;0;25.7;20.3;14;75.5;57;null;
1990-04-02;null;2;0;24.2;20.3;18.3;80;65;null;
1990-04-03;null;10.2;0;26.4;18.8;13;73.8;53;null;
1990-04-04;null;.6;5;24.5;19.9;17.2;88.8;70;null;
1990-04-05;null;1.4;3.2;24.2;20.8;17;82.5;77;null;
