Nome: PELOTAS
Codigo Estacao: 83985
Latitude: -31.78333333
Longitude: -52.41666666
Altitude: 13
Situacao: Operante
Data Inicial: 1990-01-01
Data Final: 2025-02-16
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1990-01-01;null;12.4;0;26;21;16;69;52;null;
1990-01-02;null;9.9;0;26.8;null;16.8;65.8;47;null;
1990-01-03;null;12.9;0;27.6;23.5;19.8;66.3;51;null;
1990-01-04;null;12.8;0;29;23.4;16;67.3;51;null;
1990-01-05;null;12.4;0;28.8;24.6;20;72.3;61;null;
1990-01-06;null;10.5;0;29.2;25;20.2;74.5;62;null;
1990-01-07;null;7.9;0;31.8;26.3;23.5;76.5;60;null;
1990-01-08;null;2.7;0;27.6;null;23;71.8;70;null;
1990-01-09;null;3.7;1.8;25.4;22.1;20.5;60.8;52;null;
1990-01-10;null;3.4;1.8;25;21.7;18.5;80;69;null;
1990-01-11;null;6.6;.8;21;21.6;20;78;62;null;
1990-01-12;null;12.5;0;33;null;16;57.5;34;null;
1990-01-13;null;8.5;10;32.4;null;20.5;78.3;62;null;
1990-01-14;null;11.5;20.2;30.8;null;20.8;81.3;70;null;
1990-01-15;null;7.6;.1;29.6;null;22;76.5;57;null;
1990-01-16;null;2.4;0;27;23.3;18;81.3;75;null;
1990-01-17;null;5;5.4;30;25.9;20.6;73.3;75;null;
1990-01-18;null;12.3;23.8;25;19.8;12.2;56.3;35;null;
1990-01-19;null;12.1;0;25.4;20.7;13.9;58.3;41;null;
1990-01-20;null;8.5;0;26.9;22.3;16.2;77.3;60;null;
1990-01-21;null;11.4;0;27.7;22.9;17;71.5;53;null;
1990-01-22;null;10.4;0;31.8;25.3;18.8;66;33;null;
1990-01-23;null;9.1;0;30.4;25.7;19.8;73;48;null;
1990-01-24;null;.8;32.2;26.4;23.2;20.6;78.5;75;null;
1990-01-25;null;11.3;1.6;33.8;24.6;22;70.5;45;null;
1990-01-26;null;12.1;0;34;27;17.8;69.5;45;null;
1990-01-27;null;12.2;0;31.6;26.9;21.4;75.3;60;null;
1990-01-28;null;9.6;0;37.8;28.4;22.4;76.8;45;null;
1990-01-29;null;9;1.4;38.6;31.4;23.8;56.5;35;null;
1990-01-30;null;11.2;0;39;null;24;75.8;56;null;
1990-01-31;null;7.7;22.2;31.8;25.8;23;84.5;65;null;
1990-02-01;null;8.8;2.2;33.4;26.8;20.2;75.8;47;null;
1990-02-02;null;7.3;0;35;27.5;23.2;78;55;null;
1990-02-03;null;11.6;13.8;34.6;27.4;21.8;72.5;48;null;
1990-02-04;null;9.7;0;29.6;25.4;21.6;80.5;64;null;
1990-02-05;null;11.6;0;30;27.2;24.2;70.5;60;null;
1990-02-06;null;11;0;32.8;26.6;19.5;67.3;63;null;
1990-02-07;null;5.9;1.8;31.2;null;20.2;79;61;null;
1990-02-08;null;2.9;.4;30.2;24.4;21.6;84;66;null;
1990-02-09;null;null;28;24.2;22.4;20.4;90.8;85;null;
1990-02-10;null;null;6.5;null;23.2;21.2;90.5;82;null;
1990-02-11;null;null;38.2;null;20.9;19.8;96.5;93;null;
1990-02-12;null;null;54.8;21;20.2;20;97;95;null;
1990-02-13;null;null;61.2;21.2;20.2;18.3;98.8;96;null;
1990-02-14;null;1.3;41;24.6;22.1;19.2;92.5;84;null;
1990-02-15;null;1.3;5;null;21.7;20.5;93;91;null;
1990-02-16;null;5.5;55.8;24.2;null;18.4;88.5;75;null;
1990-02-17;null;9.3;1.5;27.4;null;17.2;77.8;46;null;
1990-02-18;null;7.7;0;27.1;22.1;17.8;78;60;null;
1990-02-19;null;9.2;2.6;25;21;16.8;66.3;53;null;
1990-02-20;null;8.3;0;28.8;23;15.8;87.8;69;null;
1990-02-21;null;5.1;0;29.6;24.4;17.3;79.8;51;null;
1990-02-22;null;6.9;0;30.2;25;19.6;76.5;54;null;
1990-02-23;null;7.8;.8;28.2;23.7;19.6;79;57;null;
1990-02-24;null;6.6;0;28.6;23.6;20.2;85.8;67;null;
1990-02-25;null;.3;7.4;25.4;21.9;19.4;89.8;70;null;
1990-02-26;null;null;3.2;23.2;20.5;18.5;96.5;93;null;
1990-02-27;null;null;15.4;20.6;18.7;17.8;91.8;82;null;
1990-02-28;null;8.2;20.2;26.5;21.1;16.6;82.8;55;null;
1990-03-01;null;10.2;0;29.8;23.7;18;75.3;46;null;
1990-03-02;null;11.2;0;27.3;22.1;18.8;69.8;49;null;
1990-03-03;null;7.6;0;24.6;19.5;14.6;82.3;60;null;
1990-03-04;null;8.7;0;26.6;21.5;16;83.5;62;null;
1990-03-05;null;.7;0;26;22.5;21;89.5;81;null;
1990-03-06;null;6.8;0;26.8;21.8;17.8;79.8;60;null;
1990-03-07;null;10.9;0;27.2;21.2;15.4;78.3;55;null;
1990-03-08;null;1.2;0;25;22.8;17.2;84.5;75;null;
1990-03-09;null;2.3;.8;28;25;21.8;88.3;82;null;
1990-03-10;null;null;34;26.2;22.7;20.2;76.8;72;null;
1990-03-11;null;.2;6;24.8;22.1;19;94.8;70;null;
1990-03-12;null;null;28.6;23.8;22.2;20.6;96.8;95;null;
1990-03-13;null;2.4;8.4;null;23.4;20;93.5;85;null;
1990-03-14;null;.5;6;24.8;23.1;21.4;97.3;96;null;
1990-03-15;null;.1;1.8;25.6;22.7;19;82.8;78;null;
1990-03-16;null;null;.9;24.2;21.1;19.8;86.3;85;null;
1990-03-17;null;null;4.4;22.8;21;18.4;86.3;75;null;
1990-03-18;null;null;32;24.6;19.7;18;78.3;63;null;
1990-03-19;null;10.9;0;24.2;19.9;12;74.8;52;null;
1990-03-20;null;4.7;0;24.6;20.5;15;89.3;74;null;
1990-03-21;null;8.5;0;27.4;21.7;17;89.5;69;null;
1990-03-22;null;9.9;0;26.8;23;18;77.5;61;null;
1990-03-23;null;10.3;0;27.8;23.1;15.6;84;70;null;
1990-03-24;null;4.3;.6;28;22.4;17;80;55;null;
1990-03-25;null;10.6;0;24.6;18.4;12.2;68;42;null;
1990-03-26;null;8;0;25.5;18.9;10.2;73;55;null;
1990-03-27;null;10.9;0;null;15.2;7.6;60.8;43;null;
1990-03-28;null;10;0;23.8;16;5;74.8;54;null;
1990-03-29;null;6.6;0;29.6;19.1;12.6;85;66;null;
1990-03-30;null;3;37.6;28.2;21.8;17;97;95;null;
1990-03-31;null;1.9;19;23;19.6;16.8;81.8;75;null;
1990-04-01;null;9.5;0;24.9;19.3;10;82.3;59;null;
1990-04-02;null;4.3;0;26.8;21.4;15.8;83.3;65;null;
1990-04-03;null;9.9;0;23;16.7;10;74.5;56;null;
1990-04-04;null;1.7;0;23.4;18.2;11.6;87.8;72;null;
1990-04-05;null;3.1;0;25;21.3;16;88.8;72;null;
1990-04-06;null;4.2;0;25.2;20.5;17.2;87.8;66;null;
1990-04-07;null;7.1;4;24.6;21.1;15;73.8;65;null;
1990-04-08;null;.8;.8;22.8;null;20.4;90.5;80;null;
1990-04-09;null;8.7;0;null;null;16.6;87.5;69;null;
1990-04-10;null;6;0;27.4;null;17.8;89.5;70;null;
1990-04-11;null;0;2.6;20.4;null;16.8;73;55;null;
1990-04-12;null;6.1;0;26;null;16.6;88;73;null;
1990-04-13;null;1.4;0;26.4;null;20.2;88.3;66;null;
1990-04-14;null;7.7;0;26;null;18;84.8;55;null;
1990-04-15;null;2.7;0;25.2;null;18.8;73.5;67;null;
1990-04-16;null;0;4.7;24.2;null;17.6;92.3;65;null;
1990-04-17;null;3.9;0;24;null;14;68;64;null;
1990-04-18;null;10;0;23.2;null;9.4;72.3;49;null;
1990-04-19;null;9.1;0;20.8;null;8.4;76;52;null;
1990-04-20;null;6.1;0;25.4;null;15.4;82;66;null;
1990-04-21;null;6.9;0;29.8;null;19.2;83.8;54;null;
1990-04-22;null;2.5;0;28.7;null;20;83;71;null;
1990-04-23;null;.9;53.6;26;null;18.8;86.8;65;null;
1990-04-24;null;0;2.5;22;null;18.4;97.8;96;null;
1990-04-25;null;4.9;5.8;26;null;18;93.8;80;null;
1990-04-26;null;0;8.4;20.7;null;15.2;97;95;null;
1990-04-27;null;5;5.7;21.8;null;16.2;86;64;null;
1990-04-28;null;2.9;0;22;null;14.2;78;54;null;
1990-04-29;null;4.7;3.1;20.1;null;13.8;82.5;59;null;
1990-04-30;null;8.5;.7;22.1;null;10.6;79.3;50;null;
