Nome: RIO GRANDE
Codigo Estacao: 83995
Latitude: -32.078809
Longitude: -52.167725
Altitude: 4.89
Situacao: Desativada
Data Inicial: 1990-01-01
Data Final: 2015-01-18
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1990-01-01;null;12.2;0;28.2;22.5;18.1;69.5;62;null;
1990-01-02;null;10.4;0;26.1;22.2;17.5;69.8;58;null;
1990-01-03;null;13;0;27.2;23.1;18.3;68.5;57;null;
1990-01-04;null;12.5;0;27.9;23.4;19.9;76.8;54;null;
1990-01-05;null;12.1;0;28.2;23.8;20.7;76;63;null;
1990-01-06;null;9.5;0;27.8;23.8;19.8;84.3;77;null;
1990-01-07;null;6.4;0;28.6;24.3;21;86.5;79;null;
1990-01-08;null;5.1;0;27.2;23.4;21.6;71;70;null;
1990-01-09;null;8.7;0;25.4;22.5;21.2;59.3;53;null;
1990-01-10;null;2.9;0;25;22.3;19.9;75.8;63;null;
1990-01-11;null;11.1;.7;26.4;22.3;17.9;79.5;69;null;
1990-01-12;null;12.2;0;31.2;23.9;22;78.5;41;null;
1990-01-13;null;7.7;0;30.8;24.9;21.2;84;75;null;
1990-01-14;null;11.1;1.8;29.8;25.3;22.4;85;74;null;
1990-01-15;null;9.2;0;28.2;24.3;22.4;83.5;66;null;
1990-01-16;null;1.8;0;26.9;23.9;22.4;81;80;null;
1990-01-17;null;6;3.6;29.2;24.3;22;82.8;78;null;
1990-01-18;null;11.7;5;24.7;19.1;14.1;64.8;38;null;
1990-01-19;null;12.1;0;25;20.1;12.4;62.5;51;null;
1990-01-20;null;8.2;0;26.4;22.7;19.6;79.3;68;null;
1990-01-21;null;12.2;0;27.4;23.4;20.8;76;72;null;
1990-01-22;null;7.1;0;31.6;24.8;20.1;77.5;56;null;
1990-01-23;null;9.8;2;29;24.8;22.3;81.8;72;null;
1990-01-24;null;1.1;30;26.4;22.7;21;91;84;null;
1990-01-25;null;12.3;8;34.2;25.6;18;79.5;60;null;
1990-01-26;null;11.2;0;34.9;26.7;23.7;74.3;32;null;
1990-01-27;null;12;0;31.8;26.8;23.2;84.5;78;null;
