Nome: SANTA VITORIA DO PALMAR
Codigo Estacao: 83997
Latitude: -33.53166666
Longitude: -53.35027777
Altitude: 24.01
Situacao: Operante
Data Inicial: 1990-01-01
Data Final: 2025-02-16
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1990-01-01;null;8.2;0;25.7;20.5;15.2;66.5;51;null;
1990-01-02;null;8.2;0;26.7;21.7;18.5;70.5;55;null;
1990-01-03;null;13;0;29.1;23;17.6;61.8;43;null;
1990-01-04;null;10.4;0;32.2;24.6;19.1;64;38;null;
1990-01-05;null;12.5;0;30.2;24.2;20;74.3;58;null;
1990-01-06;null;12.3;0;30;23.9;19;71.5;46;null;
1990-01-07;null;9.3;0;29.9;24.6;20;79;74;null;
1990-01-08;null;11.6;0;26;21.8;19.5;60;53;null;
1990-01-09;null;6.4;0;25.7;20.7;17.9;62;54;null;
1990-01-10;null;8.4;0;28.1;21.7;15;69;57;null;
1990-01-11;null;12.3;0;28.1;21.9;15.9;69.3;51;null;
1990-01-12;null;12.7;0;33.1;24.5;17.8;65;31;null;
1990-01-13;null;5.8;0;32.1;24.5;17.5;80;59;null;
1990-01-14;null;12.2;0;30.1;24.4;21;79.8;63;null;
1990-01-15;null;11.5;0;33.6;25;18;70.3;46;null;
1990-01-16;null;12;0;31;25;20.2;69.3;52;null;
1990-01-17;null;5.6;0;31.8;22.5;18.3;76.3;74;null;
1990-01-18;null;12.5;15.4;24.9;17.6;12.9;60.5;33;null;
1990-01-19;null;12.7;0;28;19.9;12.2;58.5;39;null;
1990-01-20;null;12;0;29.4;21.7;13.9;65;44;null;
1990-01-21;null;10.9;0;31.6;23;16.7;67.8;46;null;
1990-01-22;null;8.4;0;31.9;23.4;18;71.8;46;null;
1990-01-23;null;10.8;0;33.1;24.2;14.9;68;36;null;
1990-01-24;null;4.5;11.3;27;22;19.8;85.3;67;null;
1990-01-25;null;12.2;1.2;33;24.6;19.1;73.3;44;null;
1990-01-26;null;11.9;0;36.8;27.8;21.3;66.8;42;null;
1990-01-27;null;11.2;0;32.9;26;22.4;81.8;61;null;
1990-01-28;null;4.5;0;36.4;28;23.9;76;54;null;
